"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","1,080.75","1,085.03","1,085.14","1,078.25","-","-0.28%"
"Nov 28, 2019","1,083.82","1,085.45","1,089.73","1,083.82","-","-0.15%"
"Nov 27, 2019","1,085.45","1,079.34","1,088.45","1,079.34","-","0.60%"
"Nov 26, 2019","1,079.01","1,086.91","1,088.36","1,076.76","-","-0.51%"
"Nov 25, 2019","1,084.56","1,081.97","1,087.86","1,081.97","-","0.25%"
"Nov 22, 2019","1,081.90","1,074.06","1,083.57","1,073.59","-","0.76%"
"Nov 21, 2019","1,073.69","1,078.45","1,078.45","1,068.36","-","-0.43%"
"Nov 20, 2019","1,078.34","1,079.64","1,080.72","1,074.27","-","-0.13%"
"Nov 19, 2019","1,079.73","1,077.50","1,084.08","1,077.50","-","0.14%"
"Nov 18, 2019","1,078.18","1,082.98","1,086.07","1,077.00","-","-0.46%"
"Nov 15, 2019","1,083.11","1,080.57","1,086.67","1,080.31","-","0.34%"
"Nov 14, 2019","1,079.39","1,085.76","1,086.37","1,077.46","-","-0.51%"
"Nov 13, 2019","1,084.96","1,084.18","1,088.09","1,081.15","-","0.08%"
"Nov 12, 2019","1,084.11","1,085.29","1,087.59","1,082.14","-","-0.11%"
"Nov 11, 2019","1,085.25","1,078.07","1,085.25","1,076.75","-","0.65%"
"Nov 08, 2019","1,078.27","1,080.99","1,080.99","1,075.55","-","-0.26%"
"Nov 07, 2019","1,081.05","1,074.18","1,081.43","1,072.16","-","0.68%"
"Nov 06, 2019","1,073.78","1,077.12","1,081.01","1,073.78","-","-0.30%"
"Nov 05, 2019","1,077.01","1,069.86","1,078.04","1,069.86","-","0.68%"
"Nov 04, 2019","1,069.69","1,061.83","1,069.69","1,061.65","-","0.74%"
"Nov 01, 2019","1,061.83","1,050.60","1,062.10","1,050.60","-","1.04%"
"Oct 31, 2019","1,050.87","1,060.88","1,063.91","1,048.76","-","-1.04%"
"Oct 30, 2019","1,061.88","1,062.18","1,067.16","1,060.87","-","-0.03%"
"Oct 29, 2019","1,062.18","1,061.74","1,066.86","1,061.37","-","0.06%"
"Oct 25, 2019","1,061.54","1,067.08","1,067.64","1,057.34","-","-0.52%"
"Oct 24, 2019","1,067.14","1,060.47","1,067.48","1,059.98","-","0.74%"
"Oct 23, 2019","1,059.29","1,056.92","1,061.57","1,049.35","-","0.22%"
"Oct 22, 2019","1,056.92","1,053.21","1,058.44","1,050.16","-","0.35%"
"Oct 21, 2019","1,053.25","1,043.04","1,053.29","1,038.18","-","0.99%"
"Oct 18, 2019","1,042.90","1,034.30","1,042.97","1,031.41","-","0.83%"
"Oct 17, 2019","1,034.30","1,027.17","1,039.46","1,025.28","-","0.71%"
"Oct 16, 2019","1,026.98","1,020.39","1,027.25","1,017.87","-","0.65%"
"Oct 15, 2019","1,020.39","1,019.59","1,022.46","1,014.04","-","0.09%"
"Oct 14, 2019","1,019.52","1,014.96","1,019.89","1,011.71","-","0.59%"
"Oct 11, 2019","1,013.55","999.23","1,014.48","999.23","-","1.63%"
"Oct 10, 2019","997.28","997.02","1,000.36","994.83","-","0.07%"
"Oct 09, 2019","996.62","993.89","1,001.02","993.89","-","0.26%"
"Oct 08, 2019","994.07","1,000.53","1,004.53","992.31","-","-0.65%"
"Oct 07, 2019","1,000.53","1,004.49","1,009.69","999.01","-","-0.40%"
"Oct 04, 2019","1,004.56","1,005.55","1,008.95","1,002.08","-","-0.09%"
"Oct 03, 2019","1,005.48","1,010.03","1,011.24","999.86","-","-0.45%"
"Oct 02, 2019","1,010.03","1,031.25","1,031.37","1,008.61","-","-2.06%"
"Oct 01, 2019","1,031.25","1,041.29","1,042.85","1,029.53","-","-1.01%"
"Sep 30, 2019","1,041.75","1,038.45","1,043.58","1,035.45","-","0.32%"
"Sep 27, 2019","1,038.45","1,036.29","1,044.03","1,035.58","-","0.13%"
"Sep 26, 2019","1,037.10","1,031.76","1,039.94","1,031.16","-","0.59%"
"Sep 25, 2019","1,031.06","1,046.77","1,050.83","1,029.20","-","-1.58%"
"Sep 24, 2019","1,047.57","1,045.03","1,050.71","1,044.49","-","0.24%"
"Sep 23, 2019","1,045.03","1,060.23","1,061.38","1,045.03","-","-1.44%"
"Sep 20, 2019","1,060.32","1,053.60","1,060.32","1,052.92","-","0.66%"
"Sep 19, 2019","1,053.36","1,050.02","1,055.45","1,049.25","-","0.32%"
"Sep 18, 2019","1,050.02","1,048.39","1,053.74","1,047.97","-","0.24%"
"Sep 17, 2019","1,047.51","1,060.83","1,061.04","1,046.55","-","-1.26%"
"Sep 16, 2019","1,060.83","1,047.81","1,060.88","1,047.68","-","1.02%"
"Sep 13, 2019","1,050.17","1,049.42","1,053.72","1,047.00","-","0.07%"
"Sep 12, 2019","1,049.42","1,043.53","1,049.76","1,039.83","-","0.56%"
"Sep 11, 2019","1,043.57","1,035.24","1,043.95","1,035.24","-","0.82%"
"Sep 10, 2019","1,035.04","1,033.49","1,037.21","1,027.97","-","0.15%"
"Sep 09, 2019","1,033.49","1,032.06","1,037.30","1,031.94","-","0.14%"
"Sep 06, 2019","1,032.06","1,039.81","1,039.81","1,030.20","-","-0.79%"
"Sep 05, 2019","1,040.28","1,028.77","1,040.96","1,028.77","-","1.16%"
"Sep 04, 2019","1,028.39","1,029.55","1,031.79","1,024.07","-","-0.19%"
"Sep 03, 2019","1,030.39","1,036.94","1,040.79","1,029.03","-","-0.58%"
"Sep 02, 2019","1,036.45","1,036.92","1,043.84","1,035.71","-","-0.08%"
"Aug 30, 2019","1,037.27","1,032.93","1,037.94","1,029.79","-","0.61%"
"Aug 29, 2019","1,031.02","1,024.19","1,031.23","1,024.19","-","0.68%"
