"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","10,147.88","10,166.30","10,215.32","10,147.88","28.62M","-0.23%"
"Nov 27, 2019","10,171.39","10,204.38","10,211.16","10,120.58","34.48M","-0.19%"
"Nov 26, 2019","10,190.82","10,316.25","10,316.25","10,173.51","160.48M","-1.16%"
"Nov 25, 2019","10,310.88","10,255.17","10,310.88","10,232.80","37.00M","0.56%"
"Nov 24, 2019","10,253.54","10,275.20","10,290.03","10,242.40","20.50M","-0.13%"
"Nov 21, 2019","10,267.27","10,324.41","10,324.41","10,256.99","27.62M","-0.67%"
"Nov 20, 2019","10,336.68","10,322.90","10,336.68","10,275.23","32.13M","-0.04%"
"Nov 19, 2019","10,340.45","10,286.06","10,340.45","10,254.94","39.03M","0.43%"
"Nov 18, 2019","10,296.64","10,298.36","10,364.51","10,278.87","46.35M","-0.20%"
"Nov 17, 2019","10,317.05","10,370.97","10,376.28","10,317.05","17.80M","-0.45%"
"Nov 14, 2019","10,363.20","10,262.38","10,363.20","10,239.48","38.96M","0.84%"
"Nov 13, 2019","10,277.23","10,214.97","10,286.77","10,214.47","34.21M","0.50%"
"Nov 12, 2019","10,226.15","10,313.95","10,313.95","10,226.15","41.68M","-0.75%"
"Nov 11, 2019","10,303.89","10,270.44","10,320.03","10,265.74","32.25M","0.36%"
"Nov 10, 2019","10,266.51","10,252.27","10,284.38","10,224.08","21.35M","-0.08%"
"Nov 07, 2019","10,274.56","10,276.90","10,313.77","10,241.26","31.69M","-0.11%"
"Nov 06, 2019","10,285.38","10,309.00","10,309.00","10,243.56","31.64M","-0.18%"
"Nov 05, 2019","10,303.73","10,178.58","10,303.73","10,138.28","42.55M","1.01%"
"Nov 04, 2019","10,200.98","10,184.48","10,212.73","10,139.40","47.22M","0.05%"
"Nov 03, 2019","10,196.13","10,223.01","10,232.41","10,191.21","76.74M","0.07%"
"Oct 31, 2019","10,188.97","10,262.30","10,303.81","10,188.97","58.07M","-0.92%"
"Oct 30, 2019","10,283.68","10,215.50","10,283.68","10,192.51","33.14M","0.62%"
"Oct 29, 2019","10,220.72","10,212.55","10,265.27","10,198.28","37.77M","-0.01%"
"Oct 28, 2019","10,222.20","10,295.31","10,296.03","10,204.23","25.77M","-0.77%"
"Oct 27, 2019","10,301.17","10,360.11","10,360.11","10,256.06","26.35M","-0.74%"
"Oct 24, 2019","10,377.89","10,345.79","10,377.89","10,301.52","31.72M","0.22%"
"Oct 23, 2019","10,354.62","10,368.56","10,390.56","10,299.51","26.91M","-0.21%"
"Oct 22, 2019","10,376.13","10,361.59","10,386.52","10,269.95","32.79M","-0.20%"
"Oct 21, 2019","10,396.58","10,390.51","10,396.58","10,299.73","27.74M","-0.15%"
"Oct 20, 2019","10,412.49","10,403.61","10,431.79","10,368.65","17.83M","-0.15%"
"Oct 17, 2019","10,427.96","10,403.96","10,441.19","10,400.59","42.48M","-0.06%"
"Oct 16, 2019","10,434.49","10,438.60","10,442.77","10,387.38","38.49M","0.04%"
"Oct 15, 2019","10,430.42","10,409.07","10,434.44","10,371.58","40.95M","0.25%"
"Oct 14, 2019","10,404.12","10,289.70","10,404.12","10,289.70","61.99M","1.16%"
"Oct 13, 2019","10,284.61","10,217.24","10,284.61","10,217.24","18.67M","0.56%"
"Oct 10, 2019","10,227.52","10,191.94","10,261.11","10,186.45","29.35M","0.29%"
"Oct 09, 2019","10,197.57","10,287.46","10,289.74","10,185.68","35.74M","-0.72%"
"Oct 08, 2019","10,271.86","10,299.11","10,336.68","10,245.37","29.58M","-0.26%"
"Oct 07, 2019","10,299.03","10,320.66","10,336.68","10,264.66","22.90M","-0.14%"
"Oct 06, 2019","10,313.84","10,308.38","10,352.66","10,308.38","14.81M","0.03%"
"Oct 03, 2019","10,310.69","10,370.55","10,373.38","10,301.08","28.71M","-0.47%"
"Oct 02, 2019","10,359.84","10,436.36","10,436.36","10,359.84","30.32M","-0.72%"
"Oct 01, 2019","10,434.65","10,382.15","10,437.14","10,364.20","31.52M","0.65%"
"Sep 30, 2019","10,367.08","10,386.01","10,415.87","10,367.08","49.05M","-0.28%"
"Sep 29, 2019","10,395.78","10,433.48","10,447.52","10,395.78","32.70M","-0.23%"
"Sep 26, 2019","10,420.02","10,445.96","10,458.81","10,398.61","36.53M","-0.20%"
"Sep 25, 2019","10,441.04","10,303.80","10,441.04","10,297.07","45.39M","1.19%"
"Sep 24, 2019","10,318.52","10,335.66","10,376.29","10,318.52","31.43M","-0.43%"
"Sep 23, 2019","10,362.85","10,443.68","10,449.47","10,357.57","32.27M","-0.81%"
"Sep 22, 2019","10,447.27","10,480.11","10,517.06","10,428.58","30.00M","-0.62%"
"Sep 19, 2019","10,512.06","10,553.68","10,562.77","10,383.99","152.11M","-0.26%"
"Sep 18, 2019","10,539.59","10,458.73","10,594.53","10,458.73","64.21M","0.66%"
"Sep 17, 2019","10,470.83","10,485.81","10,517.92","10,453.94","103.07M","-0.39%"
"Sep 16, 2019","10,511.58","10,406.23","10,511.58","10,392.95","62.86M","1.12%"
"Sep 15, 2019","10,394.90","10,465.81","10,465.81","10,394.90","41.98M","-0.64%"
"Sep 12, 2019","10,461.65","10,440.41","10,474.57","10,419.39","63.17M","-0.05%"
"Sep 11, 2019","10,466.49","10,372.86","10,466.49","10,338.85","94.21M","0.88%"
"Sep 10, 2019","10,375.67","10,292.59","10,375.67","10,267.92","82.54M","0.65%"
"Sep 09, 2019","10,309.03","10,280.87","10,309.03","10,245.25","64.04M","0.33%"
"Sep 08, 2019","10,274.85","10,253.58","10,292.76","10,230.96","29.66M","0.21%"
"Sep 05, 2019","10,253.19","10,307.36","10,315.69","10,253.19","50.65M","-0.41%"
"Sep 04, 2019","10,295.25","10,283.60","10,310.27","10,194.31","54.76M","-0.05%"
"Sep 03, 2019","10,300.01","10,283.21","10,334.26","10,268.58","41.61M","0.25%"
"Sep 02, 2019","10,274.15","10,277.74","10,298.11","10,225.90","40.94M","0.20%"
"Sep 01, 2019","10,253.69","10,184.63","10,307.19","10,178.45","29.68M","0.20%"
"Aug 29, 2019","10,232.85","9,995.01","10,232.85","9,994.93","63.99M","2.07%"
"Aug 28, 2019","10,025.47","9,954.35","10,051.95","9,908.94","40.84M","-0.04%"
"Aug 27, 2019","10,029.75","9,801.93","10,029.75","9,767.48","101.61M","2.47%"
"Aug 26, 2019","9,787.77","9,821.07","9,875.11","9,768.84","81.21M","-0.30%"
"Aug 25, 2019","9,817.67","9,874.39","9,874.39","9,803.50","40.38M","-1.02%"
"Aug 22, 2019","9,918.60","9,873.97","9,982.13","9,843.13","49.04M","0.42%"
"Aug 21, 2019","9,877.10","9,859.93","9,955.31","9,845.37","35.79M","-0.18%"
"Aug 20, 2019","9,894.94","9,799.41","9,933.63","9,769.58","34.96M","0.91%"
"Aug 19, 2019","9,806.13","9,826.50","9,828.04","9,722.82","29.23M","0.24%"
"Aug 18, 2019","9,782.25","9,655.67","9,816.49","9,645.03","24.30M","1.67%"
"Aug 15, 2019","9,621.70","9,587.67","9,624.03","9,441.65","41.59M","-0.56%"
"Aug 14, 2019","9,675.54","9,870.96","9,892.15","9,638.71","31.47M","-1.62%"
"Aug 08, 2019","9,834.79","9,871.62","9,967.81","9,834.79","36.45M","-0.64%"
"Aug 07, 2019","9,898.10","9,800.08","9,956.21","9,800.08","37.81M","1.23%"
"Aug 06, 2019","9,777.47","9,940.30","10,032.25","9,777.47","53.34M","-1.49%"
"Aug 05, 2019","9,924.87","10,340.75","10,341.96","9,924.87","52.81M","-4.16%"
"Aug 04, 2019","10,356.07","10,367.70","10,367.70","10,306.75","17.93M","-0.40%"
"Aug 01, 2019","10,397.63","10,469.55","10,485.86","10,394.54","27.25M","-1.02%"
"Jul 31, 2019","10,505.00","10,561.71","10,590.21","10,479.33","45.99M","-0.80%"
"Jul 30, 2019","10,589.29","10,578.52","10,627.24","10,540.90","40.67M","-0.13%"
"Jul 29, 2019","10,602.92","10,572.40","10,602.92","10,501.32","47.06M","0.28%"
"Jul 28, 2019","10,573.18","10,624.67","10,627.63","10,559.53","30.21M","-0.55%"
"Jul 25, 2019","10,631.28","10,543.46","10,631.28","10,542.72","31.21M","0.77%"
"Jul 24, 2019","10,549.75","10,543.59","10,556.55","10,514.34","39.62M","0.37%"
"Jul 23, 2019","10,511.25","10,539.52","10,551.05","10,505.97","27.70M","-0.29%"
"Jul 22, 2019","10,542.24","10,476.25","10,542.24","10,461.62","32.55M","0.39%"
"Jul 21, 2019","10,501.22","10,507.40","10,537.16","10,465.05","20.01M","-0.02%"
"Jul 18, 2019","10,503.10","10,602.85","10,611.58","10,503.10","19.42M","-1.04%"
"Jul 17, 2019","10,613.53","10,600.27","10,635.56","10,577.10","26.65M","0.12%"
"Jul 16, 2019","10,600.98","10,603.37","10,605.13","10,557.47","26.75M","0.05%"
"Jul 15, 2019","10,595.55","10,606.98","10,626.27","10,575.45","27.54M","-0.04%"
"Jul 14, 2019","10,600.20","10,608.46","10,622.59","10,582.72","15.67M","-0.12%"
"Jul 11, 2019","10,613.32","10,537.98","10,613.32","10,504.18","42.77M","0.59%"
"Jul 10, 2019","10,551.21","10,504.09","10,551.21","10,489.56","32.46M","0.48%"
"Jul 09, 2019","10,500.46","10,438.70","10,500.46","10,423.72","21.80M","0.55%"
"Jul 08, 2019","10,442.87","10,514.01","10,538.54","10,403.55","32.35M","-0.72%"
"Jul 07, 2019","10,518.20","10,585.63","10,591.70","10,507.43","20.60M","-0.46%"
"Jul 04, 2019","10,566.52","10,545.91","10,585.99","10,536.25","23.40M","-0.23%"
"Jul 03, 2019","10,590.60","10,542.77","10,609.08","10,540.38","17.10M","0.12%"
"Jul 02, 2019","10,578.43","10,539.61","10,578.43","10,513.55","21.29M","0.17%"
"Jul 01, 2019","10,560.13","10,464.92","10,560.13","10,462.57","23.89M","1.00%"
"Jun 30, 2019","10,455.67","10,465.38","10,507.33","10,452.53","23.13M","0.11%"
"Jun 27, 2019","10,444.48","10,442.23","10,469.71","10,425.62","31.60M","0.27%"
"Jun 26, 2019","10,416.32","10,475.00","10,492.91","10,416.32","33.07M","-0.33%"
"Jun 25, 2019","10,450.59","10,518.74","10,562.08","10,434.75","31.02M","-0.52%"
"Jun 24, 2019","10,505.34","10,553.00","10,595.60","10,505.34","29.63M","-0.44%"
"Jun 23, 2019","10,551.43","10,638.22","10,650.21","10,551.43","20.55M","-1.28%"
"Jun 20, 2019","10,688.67","10,498.81","10,688.67","10,498.81","64.98M","1.73%"
"Jun 19, 2019","10,507.40","10,438.48","10,532.23","10,422.53","37.20M","0.84%"
"Jun 18, 2019","10,420.14","10,380.41","10,424.19","10,351.32","31.19M","0.29%"
"Jun 17, 2019","10,390.08","10,516.91","10,516.91","10,364.15","23.82M","-0.85%"
"Jun 16, 2019","10,479.63","10,527.15","10,540.35","10,368.31","11.34M","-0.34%"
"Jun 13, 2019","10,515.88","10,642.12","10,646.71","10,515.88","12.76M","-1.00%"
"Jun 12, 2019","10,621.76","10,570.91","10,621.76","10,527.70","16.01M","0.35%"
"Jun 11, 2019","10,584.23","10,504.42","10,630.74","10,504.42","16.49M","0.77%"
"Jun 10, 2019","10,503.55","10,275.94","10,525.49","10,274.62","24.88M","2.02%"
"Jun 09, 2019","10,295.78","10,292.82","10,402.44","10,285.23","4.29M","-0.23%"
"Jun 03, 2019","10,319.33","10,177.72","10,320.96","10,086.68","6.66M","1.49%"
"Jun 02, 2019","10,168.14","10,247.21","10,248.02","10,120.83","3.74M","-1.02%"
"May 30, 2019","10,273.01","9,918.33","10,338.94","9,913.13","13.31M","3.43%"
"May 29, 2019","9,931.94","9,883.31","9,957.39","9,826.90","6.35M","0.36%"
"May 28, 2019","9,896.06","9,790.84","9,957.91","9,790.84","45.69M","1.15%"
"May 27, 2019","9,783.56","9,663.66","9,858.71","9,631.39","13.00M","0.89%"
"May 26, 2019","9,697.30","9,761.44","9,763.79","9,670.16","6.77M","-0.34%"
"May 23, 2019","9,730.52","9,754.88","9,765.00","9,664.12","5.55M","-0.28%"
"May 22, 2019","9,757.63","9,692.07","9,820.39","9,681.26","9.28M","0.59%"
"May 21, 2019","9,700.77","9,945.25","9,993.77","9,656.68","11.38M","-2.00%"
"May 20, 2019","9,898.58","9,881.47","9,992.84","9,881.24","9.72M","0.25%"
"May 19, 2019","9,873.43","9,901.75","9,901.76","9,825.04","5.52M","0.02%"
"May 16, 2019","9,871.87","9,892.38","9,913.73","9,870.18","8.14M","0.08%"
"May 15, 2019","9,864.26","9,832.65","9,931.21","9,812.49","12.05M","0.67%"
"May 14, 2019","9,798.74","9,777.86","9,909.32","9,753.34","13.95M","0.60%"
"May 13, 2019","9,740.20","9,905.14","9,928.88","9,662.91","10.45M","-1.89%"
"May 12, 2019","9,928.22","10,002.03","10,002.03","9,916.18","3.36M","-0.99%"
"May 09, 2019","10,027.17","10,117.05","10,135.50","10,020.91","5.41M","-0.95%"
"May 08, 2019","10,123.40","10,240.58","10,240.58","10,085.14","4.73M","-1.25%"
"May 07, 2019","10,251.08","10,255.89","10,340.79","10,242.92","3.00M","-0.44%"
"May 06, 2019","10,296.59","10,460.47","10,468.63","10,259.30","5.16M","-1.58%"
"May 05, 2019","10,461.49","10,483.55","10,542.43","10,461.32","6.83M","-0.18%"
"May 02, 2019","10,480.52","10,397.48","10,492.90","10,382.78","8.70M","0.77%"
"May 01, 2019","10,400.29","10,379.07","10,400.29","10,321.61","7.10M","0.23%"
"Apr 30, 2019","10,376.80","10,351.96","10,380.77","10,338.05","5.95M","0.16%"
"Apr 29, 2019","10,359.74","10,383.33","10,417.29","10,330.59","4.73M","-0.45%"
"Apr 28, 2019","10,406.84","10,390.32","10,428.36","10,390.16","3.58M","-0.42%"
"Apr 25, 2019","10,451.13","10,449.55","10,498.44","10,398.14","8.13M","-0.06%"
"Apr 24, 2019","10,457.56","10,373.55","10,457.56","10,364.30","6.86M","0.73%"
"Apr 23, 2019","10,382.18","10,352.35","10,424.10","10,352.35","7.63M","-0.18%"
"Apr 22, 2019","10,401.40","10,354.99","10,422.40","10,335.60","6.69M","0.44%"
"Apr 21, 2019","10,355.45","10,346.13","10,369.20","10,331.71","5.07M","0.07%"
"Apr 18, 2019","10,348.19","10,312.68","10,360.45","10,292.03","6.80M","0.39%"
"Apr 17, 2019","10,308.17","10,254.34","10,308.17","10,197.48","7.21M","0.48%"
"Apr 16, 2019","10,258.75","10,224.54","10,258.75","10,180.45","7.64M","0.36%"
"Apr 15, 2019","10,221.52","10,218.65","10,235.69","10,184.17","6.11M","-0.14%"
"Apr 14, 2019","10,235.76","10,239.60","10,256.50","10,210.64","9.63M","-0.23%"
"Apr 11, 2019","10,259.07","10,236.27","10,272.98","10,227.29","12.97M","0.22%"
"Apr 10, 2019","10,236.22","10,212.58","10,236.22","10,164.26","5.86M","0.18%"
"Apr 09, 2019","10,217.92","10,209.42","10,227.06","10,166.84","4.27M","-0.09%"
"Apr 08, 2019","10,226.68","10,192.95","10,226.68","10,170.77","5.67M","0.34%"
"Apr 07, 2019","10,192.19","10,197.43","10,244.67","10,181.46","6.34M","0.03%"
"Apr 04, 2019","10,189.56","10,136.11","10,233.16","10,127.14","6.69M","0.28%"
"Apr 03, 2019","10,161.57","10,149.32","10,201.72","10,148.25","6.96M","-0.39%"
"Apr 02, 2019","10,201.18","10,177.26","10,233.48","10,170.23","6.43M","0.46%"
"Apr 01, 2019","10,154.89","10,109.18","10,182.01","10,099.70","9.22M","0.47%"
"Mar 31, 2019","10,107.42","10,171.86","10,174.22","10,107.42","12.01M","-0.38%"
"Mar 28, 2019","10,145.68","10,114.85","10,145.68","10,085.08","8.56M","0.40%"
"Mar 27, 2019","10,105.06","9,925.48","10,129.74","9,925.48","13.91M","1.71%"
"Mar 26, 2019","9,935.47","9,924.43","9,979.97","9,906.35","8.70M","-0.14%"
"Mar 25, 2019","9,949.02","9,888.39","9,949.02","9,870.27","4.63M","0.59%"
"Mar 24, 2019","9,890.30","9,951.19","9,952.18","9,876.53","3.68M","-0.64%"
"Mar 21, 2019","9,953.72","9,970.41","9,970.41","9,898.17","4.06M","-0.23%"
"Mar 20, 2019","9,976.80","9,931.35","9,976.80","9,914.83","5.09M","0.20%"
"Mar 19, 2019","9,957.03","9,980.83","10,028.09","9,954.77","9.29M","-0.16%"
"Mar 18, 2019","9,972.68","9,875.91","10,005.38","9,874.65","6.14M","1.11%"
"Mar 17, 2019","9,863.10","9,906.70","9,937.39","9,863.10","5.55M","-1.08%"
"Mar 14, 2019","9,970.55","9,736.55","9,970.55","9,725.66","34.11M","2.14%"
"Mar 13, 2019","9,761.69","9,775.52","9,785.52","9,739.91","6.38M","-0.04%"
"Mar 12, 2019","9,765.88","9,740.16","9,837.79","9,737.16","8.75M","0.22%"
"Mar 11, 2019","9,744.22","9,765.05","9,812.98","9,744.22","7.92M","-0.25%"
"Mar 10, 2019","9,769.04","9,728.09","9,804.29","9,719.24","5.31M","-0.12%"
"Mar 07, 2019","9,781.18","9,820.13","9,843.58","9,773.57","5.30M","-1.04%"
"Mar 06, 2019","9,884.21","9,941.35","9,941.35","9,813.91","5.88M","-1.26%"
"Mar 05, 2019","10,010.24","10,115.95","10,130.76","10,010.24","6.23M","-1.07%"
"Mar 04, 2019","10,118.10","10,132.81","10,163.52","10,116.69","7.08M","0.06%"
"Feb 28, 2019","10,111.62","10,131.35","10,178.29","10,111.62","6.43M","-0.24%"
"Feb 27, 2019","10,136.00","10,197.21","10,237.08","10,123.45","8.00M","-1.17%"
"Feb 26, 2019","10,255.97","10,169.34","10,267.92","10,146.05","8.16M","0.29%"
"Feb 25, 2019","10,226.69","10,177.00","10,232.52","10,162.61","6.48M","0.36%"
"Feb 24, 2019","10,190.14","10,167.39","10,199.42","10,157.03","5.79M","-0.01%"
"Feb 21, 2019","10,191.50","10,051.17","10,191.50","10,024.88","10.45M","1.13%"
"Feb 20, 2019","10,077.82","10,022.76","10,077.82","9,992.96","6.22M","0.96%"
"Feb 19, 2019","9,982.25","10,012.79","10,054.81","9,982.25","5.64M","-0.52%"
"Feb 18, 2019","10,034.24","10,034.24","10,034.24","10,034.24","-","0.24%"
"Feb 17, 2019","10,010.54","9,989.18","10,058.52","9,989.18","6.85M","0.69%"
"Feb 14, 2019","9,941.50","10,153.77","10,188.85","9,941.50","5.57M","-2.35%"
"Feb 13, 2019","10,180.69","10,331.57","10,376.41","10,180.69","7.43M","-1.18%"
"Feb 11, 2019","10,302.41","10,449.59","10,449.59","10,302.41","3.92M","-1.33%"
"Feb 10, 2019","10,441.21","10,503.75","10,514.26","10,420.94","2.94M","-0.61%"
"Feb 07, 2019","10,505.19","10,676.98","10,676.98","10,505.19","6.43M","-1.67%"
"Feb 06, 2019","10,683.94","10,714.86","10,714.86","10,630.97","6.12M","-0.29%"
"Feb 05, 2019","10,715.29","10,690.64","10,718.97","10,640.37","4.26M","-0.11%"
"Feb 04, 2019","10,727.53","10,685.95","10,744.41","10,658.52","5.19M","0.36%"
"Feb 03, 2019","10,689.17","10,711.75","10,717.39","10,658.49","3.19M","-0.29%"
"Jan 31, 2019","10,720.31","10,672.16","10,737.95","10,671.97","6.78M","0.01%"
"Jan 30, 2019","10,719.40","10,712.14","10,724.22","10,671.12","4.41M","-0.03%"
"Jan 29, 2019","10,722.49","10,687.05","10,722.49","10,648.40","7.04M","0.17%"
"Jan 28, 2019","10,704.73","10,665.04","10,704.73","10,620.36","7.30M","0.34%"
"Jan 27, 2019","10,668.14","10,687.62","10,729.60","10,657.43","3.09M","-0.41%"
"Jan 24, 2019","10,712.39","10,642.59","10,712.39","10,617.85","5.32M","0.58%"
"Jan 23, 2019","10,650.31","10,656.37","10,665.63","10,578.95","5.69M","-0.35%"
"Jan 22, 2019","10,687.28","10,715.03","10,718.74","10,642.57","4.25M","-0.33%"
"Jan 21, 2019","10,722.14","10,743.34","10,758.22","10,710.57","3.95M","-0.35%"
"Jan 20, 2019","10,760.23","10,778.51","10,810.55","10,756.75","4.50M","-0.26%"
"Jan 17, 2019","10,787.75","10,752.85","10,789.93","10,689.83","5.57M","0.24%"
"Jan 16, 2019","10,761.79","10,747.23","10,779.02","10,684.58","7.86M","-0.01%"
"Jan 15, 2019","10,762.99","10,674.17","10,762.99","10,654.73","5.08M","0.86%"
"Jan 14, 2019","10,671.56","10,646.20","10,671.56","10,584.83","4.44M","0.17%"
"Jan 13, 2019","10,653.57","10,641.88","10,708.62","10,641.42","5.23M","-0.04%"
"Jan 10, 2019","10,658.22","10,506.67","10,658.22","10,504.64","7.34M","1.17%"
"Jan 09, 2019","10,535.13","10,454.84","10,539.80","10,438.24","8.36M","0.73%"
"Jan 08, 2019","10,458.85","10,448.38","10,494.66","10,442.67","9.82M","-0.34%"
"Jan 07, 2019","10,494.22","10,355.28","10,499.53","10,327.54","9.88M","1.37%"
"Jan 06, 2019","10,352.22","10,341.48","10,391.57","10,330.48","5.72M","0.02%"
"Jan 03, 2019","10,350.35","10,247.88","10,350.35","10,224.63","3.82M","0.68%"
"Jan 02, 2019","10,280.34","10,284.15","10,293.68","10,213.27","4.27M","-0.18%"
"Dec 31, 2018","10,299.01","10,257.68","10,317.55","10,248.15","3.94M","0.15%"
"Dec 30, 2018","10,283.72","10,294.98","10,310.82","10,280.13","2.52M","-0.04%"
"Dec 27, 2018","10,287.70","10,240.65","10,290.41","10,239.40","5.38M","0.63%"
"Dec 26, 2018","10,222.98","10,213.73","10,226.90","10,194.09","1.84M","-0.11%"
"Dec 25, 2018","10,233.88","10,349.98","10,349.98","10,221.25","1.71M","-1.29%"
"Dec 24, 2018","10,367.54","10,307.50","10,367.54","10,268.20","3.07M","0.34%"
"Dec 23, 2018","10,332.77","10,402.23","10,402.32","10,291.92","2.77M","-0.77%"
"Dec 20, 2018","10,412.51","10,463.59","10,463.59","10,305.30","7.21M","-0.80%"
"Dec 19, 2018","10,496.40","10,466.82","10,496.40","10,419.71","3.93M","0.07%"
"Dec 17, 2018","10,489.04","10,441.07","10,513.91","10,401.48","4.03M","-0.07%"
"Dec 16, 2018","10,496.50","10,383.18","10,496.50","10,379.93","4.75M","0.39%"
"Dec 13, 2018","10,456.14","10,396.34","10,456.14","10,362.65","5.42M","0.22%"
"Dec 12, 2018","10,433.56","10,470.99","10,534.06","10,433.56","3.17M","-0.46%"
"Dec 11, 2018","10,482.14","10,535.37","10,566.34","10,431.07","5.71M","-0.70%"
"Dec 10, 2018","10,555.81","10,571.04","10,586.22","10,537.67","4.61M","-0.46%"
"Dec 09, 2018","10,604.28","10,599.88","10,648.50","10,584.49","3.80M","0.06%"
"Dec 06, 2018","10,598.40","10,563.73","10,611.49","10,563.73","5.72M","0.08%"
"Dec 05, 2018","10,589.98","10,582.54","10,632.89","10,545.00","6.42M","-0.12%"
"Dec 04, 2018","10,602.84","10,445.69","10,615.28","10,435.50","9.31M","1.45%"
"Dec 03, 2018","10,451.33","10,300.08","10,451.33","10,300.08","6.02M","1.30%"
"Dec 02, 2018","10,316.96","10,333.55","10,366.60","10,309.58","2.43M","-0.46%"
"Nov 29, 2018","10,364.54","10,325.60","10,364.54","10,299.51","31.15M","0.34%"
"Nov 28, 2018","10,329.61","10,352.80","10,374.33","10,316.15","6.49M","-0.25%"
"Nov 27, 2018","10,355.67","10,352.81","10,372.54","10,326.40","7.05M","-0.01%"
"Nov 26, 2018","10,356.62","10,249.28","10,360.82","10,249.28","7.30M","1.02%"
"Nov 25, 2018","10,251.62","10,313.54","10,318.54","10,251.62","2.18M","-0.74%"
"Nov 22, 2018","10,328.48","10,287.89","10,356.76","10,265.58","3.88M","0.35%"
