"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","4,538.80","4,518.68","4,600.75","4,497.56","-","0.45%"
"Nov 28, 2019","4,518.68","4,596.44","4,599.36","4,493.69","-","-1.69%"
"Nov 27, 2019","4,596.44","4,563.00","4,613.05","4,559.78","-","0.73%"
"Nov 26, 2019","4,563.00","4,651.65","4,672.18","4,547.94","-","-1.91%"
"Nov 25, 2019","4,651.65","4,729.90","4,729.90","4,649.70","-","-1.65%"
"Nov 22, 2019","4,729.90","4,744.30","4,752.99","4,691.15","-","-0.30%"
"Nov 21, 2019","4,744.30","4,786.12","4,790.43","4,734.95","-","-0.87%"
"Nov 20, 2019","4,786.12","4,791.88","4,817.03","4,743.84","-","-0.12%"
"Nov 19, 2019","4,791.88","4,814.17","4,817.73","4,749.79","-","-0.46%"
"Nov 18, 2019","4,814.17","4,861.44","4,891.27","4,777.53","-","-0.97%"
"Nov 15, 2019","4,861.44","4,498.52","4,863.23","4,498.52","-","8.07%"
"Nov 14, 2019","4,498.52","4,412.25","4,505.82","4,411.90","-","1.96%"
"Nov 13, 2019","4,412.25","4,544.20","4,546.93","4,408.17","-","-2.90%"
"Nov 12, 2019","4,544.20","4,619.59","4,619.96","4,425.29","-","-1.63%"
"Nov 11, 2019","4,619.59","4,690.88","4,690.88","4,596.30","-","-1.52%"
"Nov 08, 2019","4,690.88","4,672.77","4,704.03","4,654.59","-","0.39%"
"Nov 07, 2019","4,672.77","4,599.38","4,672.78","4,597.05","-","1.60%"
"Nov 06, 2019","4,599.38","4,730.12","4,732.09","4,566.30","-","-2.76%"
"Nov 05, 2019","4,730.12","4,801.56","4,801.57","4,686.11","-","-1.49%"
"Nov 04, 2019","4,801.56","4,744.13","4,836.45","4,744.13","-","1.21%"
"Oct 30, 2019","4,744.13","4,880.87","4,881.01","4,699.61","-","-2.80%"
"Oct 29, 2019","4,880.87","4,962.34","4,963.38","4,852.22","-","-1.64%"
"Oct 28, 2019","4,962.34","4,943.85","4,972.95","4,942.84","-","0.37%"
