"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","20,078.00","20,040.80","20,091.96","19,966.39","-","0.11%"
"Nov 28, 2019","20,055.57","19,934.09","20,069.79","19,934.09","-","0.57%"
"Nov 27, 2019","19,942.33","20,004.85","20,012.06","19,806.73","-","-0.12%"
"Nov 26, 2019","19,965.93","19,972.19","19,976.17","19,890.01","-","-0.03%"
"Nov 25, 2019","19,971.60","19,885.65","20,029.40","19,848.09","-","0.43%"
"Nov 22, 2019","19,885.65","19,724.37","19,897.02","19,724.37","-","0.67%"
"Nov 21, 2019","19,753.04","19,699.88","19,757.07","19,659.52","-","0.26%"
"Nov 20, 2019","19,702.22","19,813.96","19,818.07","19,699.23","-","-0.21%"
"Nov 19, 2019","19,743.22","19,743.39","19,777.67","19,668.25","-","0.00%"
"Nov 18, 2019","19,742.80","19,700.67","19,776.57","19,700.67","-","0.21%"
"Nov 15, 2019","19,700.67","19,494.95","19,704.33","19,494.95","-","0.61%"
"Nov 14, 2019","19,581.08","19,762.24","19,762.24","19,570.87","-","-0.69%"
"Nov 13, 2019","19,716.28","19,774.00","19,864.80","19,712.09","-","-0.29%"
"Nov 12, 2019","19,772.75","19,814.62","19,846.18","19,753.33","-","0.03%"
"Nov 11, 2019","19,767.00","19,853.80","19,969.11","19,752.61","-","-0.44%"
"Nov 08, 2019","19,853.80","20,119.74","20,217.11","19,849.30","-","-1.43%"
"Nov 07, 2019","20,140.82","20,068.79","20,185.72","20,058.57","-","0.38%"
"Nov 06, 2019","20,065.19","20,032.11","20,106.06","20,031.55","-","-0.01%"
"Nov 05, 2019","20,067.57","20,077.15","20,150.05","20,056.20","-","-0.06%"
"Nov 04, 2019","20,079.55","19,904.87","20,194.21","19,864.88","-","0.88%"
"Oct 31, 2019","19,904.87","19,687.68","19,960.77","19,687.68","-","1.09%"
"Oct 30, 2019","19,690.62","19,719.80","19,816.51","19,509.29","-","-0.15%"
"Oct 29, 2019","19,719.80","19,563.25","19,726.29","19,543.90","-","0.81%"
"Oct 28, 2019","19,561.49","19,518.94","19,640.32","19,490.47","-","0.22%"
"Oct 25, 2019","19,518.94","19,583.62","19,620.78","19,472.10","-","-0.42%"
"Oct 24, 2019","19,600.58","19,500.05","19,662.14","19,483.74","-","0.50%"
"Oct 23, 2019","19,502.96","19,402.99","19,530.99","19,363.02","-","0.52%"
"Oct 22, 2019","19,402.99","19,287.72","19,472.12","19,268.94","-","0.61%"
"Oct 21, 2019","19,284.83","19,407.98","19,484.58","19,275.90","-","-0.63%"
"Oct 18, 2019","19,407.98","19,339.48","19,505.90","19,291.26","-","0.57%"
"Oct 17, 2019","19,298.57","19,315.40","19,399.56","19,296.92","-","-0.29%"
"Oct 16, 2019","19,355.12","19,405.79","19,437.30","19,355.12","-","-0.26%"
"Oct 15, 2019","19,405.79","19,436.63","19,446.84","19,376.63","-","0.02%"
"Oct 14, 2019","19,401.49","19,284.68","19,473.87","19,284.68","-","0.61%"
"Oct 11, 2019","19,284.68","19,032.13","19,319.98","19,027.01","-","1.31%"
"Oct 10, 2019","19,034.39","19,085.69","19,087.16","18,972.24","-","-0.13%"
"Oct 09, 2019","19,059.65","19,221.57","19,231.61","19,022.88","-","-0.90%"
"Oct 07, 2019","19,232.36","19,270.23","19,371.13","19,169.37","-","-0.20%"
"Oct 04, 2019","19,270.23","18,979.58","19,270.23","18,954.28","-","1.47%"
"Oct 03, 2019","18,990.27","18,975.10","19,048.26","18,928.02","-","-0.09%"
"Oct 02, 2019","19,008.19","19,221.98","19,248.38","19,004.37","-","-1.26%"
"Oct 01, 2019","19,249.81","19,602.71","19,602.71","19,236.55","-","-1.80%"
"Sep 30, 2019","19,602.71","19,747.43","19,818.40","19,595.14","-","-0.75%"
"Sep 27, 2019","19,750.35","19,637.02","19,793.47","19,609.45","-","0.61%"
"Sep 26, 2019","19,630.64","19,380.80","19,630.64","19,380.80","-","1.23%"
"Sep 25, 2019","19,391.80","19,403.64","19,486.76","19,361.05","-","0.11%"
"Sep 24, 2019","19,371.18","19,338.96","19,429.82","19,225.26","-","0.01%"
"Sep 23, 2019","19,370.14","19,455.72","19,525.97","19,350.34","-","-0.44%"
"Sep 20, 2019","19,455.72","19,523.90","19,547.49","19,446.93","-","-0.18%"
"Sep 19, 2019","19,491.36","19,547.68","19,562.86","19,454.38","-","-0.08%"
"Sep 18, 2019","19,506.98","19,547.68","19,548.54","19,454.38","-","0.11%"
"Sep 17, 2019","19,485.46","19,547.68","19,548.54","19,454.38","-","0.09%"
"Sep 16, 2019","19,468.26","19,451.39","19,522.65","19,394.11","-","0.27%"
"Sep 13, 2019","19,416.32","19,416.72","19,435.73","19,344.23","-","-0.00%"
"Sep 12, 2019","19,416.72","19,288.87","19,425.52","19,276.61","-","0.45%"
"Sep 11, 2019","19,328.81","19,203.37","19,328.81","19,203.37","-","0.61%"
"Sep 10, 2019","19,211.42","19,193.23","19,256.08","19,143.37","-","0.09%"
"Sep 09, 2019","19,193.23","19,353.60","19,355.03","19,167.60","-","-0.85%"
"Sep 06, 2019","19,357.65","19,429.83","19,511.67","19,346.99","-","-0.66%"
"Sep 05, 2019","19,487.18","19,220.06","19,497.03","19,199.10","-","1.27%"
"Sep 04, 2019","19,242.27","19,264.76","19,309.96","19,217.23","-","-0.12%"
"Sep 03, 2019","19,264.76","19,279.91","19,330.41","19,187.76","-","-0.08%"
"Sep 02, 2019","19,279.91","19,079.48","19,285.72","19,079.48","-","0.91%"
"Aug 29, 2019","19,106.75","19,034.99","19,236.43","18,531.29","-","0.38%"
"Aug 28, 2019","19,034.99","18,888.82","19,063.45","18,864.88","-","0.90%"
"Aug 27, 2019","18,866.03","18,699.34","18,917.44","18,699.34","-","0.76%"
"Aug 26, 2019","18,723.70","18,805.20","18,815.15","18,698.47","-","-0.45%"
"Aug 23, 2019","18,807.43","18,859.34","19,015.03","18,807.43","-","-0.14%"
"Aug 22, 2019","18,833.67","18,968.89","18,988.46","18,832.74","-","-0.70%"
"Aug 21, 2019","18,965.52","19,051.34","19,137.48","18,946.94","-","-0.64%"
"Aug 20, 2019","19,088.02","19,092.45","19,121.76","19,034.83","-","-0.13%"
"Aug 19, 2019","19,112.20","18,924.05","19,128.69","18,910.40","-","1.04%"
"Aug 16, 2019","18,915.65","18,840.53","18,951.71","18,840.53","-","0.28%"
"Aug 15, 2019","18,862.77","18,933.02","18,973.52","18,824.92","-","-0.49%"
"Aug 14, 2019","18,955.34","19,226.19","19,317.28","18,951.51","-","-1.41%"
"Aug 13, 2019","19,226.19","19,121.06","19,296.33","18,997.74","-","0.52%"
"Aug 12, 2019","19,126.72","19,486.51","19,542.84","19,107.14","-","-1.85%"
"Aug 09, 2019","19,487.67","19,691.82","19,691.82","19,466.46","-","-0.85%"
"Aug 08, 2019","19,653.96","19,561.10","19,657.59","19,515.11","-","0.25%"
"Aug 07, 2019","19,604.48","19,370.14","19,616.83","19,345.80","-","1.37%"
"Aug 06, 2019","19,338.63","19,371.18","19,446.20","19,291.77","-","-0.30%"
"Aug 05, 2019","19,396.96","19,663.16","19,675.72","19,366.73","-","-1.52%"
"Aug 02, 2019","19,695.44","19,862.67","19,922.37","19,671.35","-","-0.84%"
"Aug 01, 2019","19,862.67","19,957.26","19,971.08","19,794.73","-","-0.47%"
"Jul 31, 2019","19,957.26","20,221.10","20,258.24","19,957.26","-","-1.20%"
"Jul 30, 2019","20,199.61","20,622.12","20,646.52","20,160.40","-","-2.38%"
"Jul 26, 2019","20,692.32","20,816.52","20,816.74","20,640.80","-","-0.60%"
"Jul 25, 2019","20,817.15","20,812.29","20,878.49","20,735.62","-","0.27%"
"Jul 24, 2019","20,762.12","20,733.62","20,820.36","20,728.15","-","0.16%"
"Jul 23, 2019","20,729.21","20,802.47","20,854.08","20,691.32","-","-0.26%"
"Jul 22, 2019","20,783.49","20,778.65","20,897.03","20,756.46","-","-0.30%"
"Jul 19, 2019","20,845.29","20,894.16","21,035.34","20,822.85","-","-0.36%"
"Jul 18, 2019","20,919.65","20,838.03","20,985.72","20,791.24","-","0.39%"
