"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","34,500.21","34,249.29","34,560.97","34,030.66","-","0.82%"
"Nov 28, 2019","34,219.79","33,929.74","34,453.02","33,883.45","-","0.85%"
"Nov 27, 2019","33,929.74","32,113.27","33,990.89","32,113.27","-","5.66%"
"Nov 26, 2019","32,113.27","33,494.72","33,780.65","31,970.89","-","-4.12%"
"Nov 25, 2019","33,494.72","33,588.83","34,097.97","33,389.03","-","-0.28%"
"Nov 22, 2019","33,588.83","33,247.39","34,098.38","33,247.39","-","1.03%"
"Nov 21, 2019","33,247.39","33,421.12","34,049.45","33,023.76","-","-0.52%"
"Nov 20, 2019","33,421.12","32,252.78","33,697.43","32,252.78","-","3.62%"
"Nov 19, 2019","32,252.78","31,851.61","32,294.14","30,643.31","-","1.26%"
"Nov 15, 2019","31,851.61","31,019.69","32,057.63","30,434.39","-","2.68%"
"Nov 14, 2019","31,019.69","32,340.70","32,743.01","30,715.51","-","-4.08%"
"Nov 13, 2019","32,340.70","33,430.14","33,595.41","32,148.93","-","-3.26%"
"Nov 12, 2019","33,430.14","33,661.11","34,177.01","32,672.75","-","-0.69%"
"Nov 11, 2019","33,661.11","34,131.05","34,624.62","33,534.99","-","-1.38%"
"Nov 08, 2019","34,131.05","35,869.21","36,291.15","34,024.49","-","-4.85%"
"Nov 07, 2019","35,869.21","35,500.49","36,013.64","35,373.64","-","1.04%"
"Nov 06, 2019","35,500.49","36,869.96","37,054.86","35,352.08","-","-3.71%"
"Nov 05, 2019","36,869.96","37,278.54","37,646.74","36,210.96","-","-1.10%"
"Nov 04, 2019","37,278.54","35,743.04","37,423.55","35,743.04","-","4.30%"
"Nov 01, 2019","35,743.04","35,023.97","36,031.72","35,023.97","-","2.14%"
"Oct 31, 2019","34,995.20","33,889.03","35,051.08","33,889.03","-","3.26%"
"Oct 30, 2019","33,889.03","32,544.20","33,932.92","32,172.96","-","4.13%"
"Oct 29, 2019","32,544.20","33,177.16","33,620.31","32,179.99","-","-1.91%"
"Oct 28, 2019","33,177.16","34,522.25","36,775.00","32,649.42","-","-3.90%"
"Oct 25, 2019","34,522.25","33,476.16","35,526.93","33,476.16","-","3.12%"
"Oct 24, 2019","33,476.16","32,775.14","33,504.30","32,068.13","-","2.14%"
"Oct 23, 2019","32,775.14","33,262.64","33,752.09","31,915.50","-","-1.47%"
"Oct 22, 2019","33,262.64","32,550.73","33,631.07","32,360.86","-","2.19%"
"Oct 21, 2019","32,550.73","31,968.47","32,584.62","31,760.67","-","1.82%"
"Oct 18, 2019","31,968.47","31,995.13","32,526.41","31,837.96","-","-0.08%"
"Oct 17, 2019","31,995.13","30,759.21","32,020.99","30,744.03","-","4.02%"
"Oct 16, 2019","30,759.21","31,449.95","31,475.70","30,614.96","-","-1.83%"
"Oct 15, 2019","31,333.68","31,798.11","31,798.11","31,217.75","-","-1.46%"
"Oct 11, 2019","31,798.11","31,751.84","32,285.91","31,751.84","-","0.17%"
"Oct 10, 2019","31,743.20","30,338.17","31,761.66","30,338.17","-","4.63%"
"Oct 09, 2019","30,338.17","30,257.26","30,433.72","29,903.02","-","0.27%"
"Oct 08, 2019","30,257.26","30,940.87","30,950.92","30,057.92","-","-2.21%"
"Oct 07, 2019","30,940.87","31,921.82","32,288.46","30,922.43","-","-2.75%"
"Oct 04, 2019","31,816.50","30,365.90","31,850.26","30,321.98","-","4.78%"
"Oct 03, 2019","30,365.90","30,792.05","30,969.17","30,346.35","-","-1.38%"
"Oct 02, 2019","30,792.05","30,066.13","30,895.25","29,855.61","-","2.41%"
"Oct 01, 2019","30,066.13","29,066.96","30,147.52","29,066.96","-","3.44%"
"Sep 30, 2019","29,066.96","28,877.51","29,131.46","28,297.42","-","0.66%"
"Sep 27, 2019","28,877.51","28,168.02","28,953.28","28,168.02","-","2.52%"
"Sep 26, 2019","28,168.02","28,212.41","28,705.26","27,945.59","-","-0.16%"
"Sep 25, 2019","28,212.41","27,819.80","28,313.18","27,219.99","-","1.41%"
"Sep 24, 2019","27,819.80","29,094.70","29,094.70","27,627.02","-","-4.57%"
"Sep 23, 2019","29,152.05","30,060.46","30,060.46","28,656.45","-","-3.02%"
"Sep 20, 2019","30,060.46","30,414.40","30,627.87","29,891.67","-","-1.16%"
"Sep 19, 2019","30,414.40","30,071.10","30,465.95","29,525.17","-","1.14%"
"Sep 18, 2019","30,071.10","30,150.65","30,398.60","29,534.34","-","-0.26%"
"Sep 17, 2019","30,150.65","30,561.27","30,561.27","29,665.26","-","-1.34%"
"Sep 16, 2019","30,561.27","30,136.38","31,558.15","30,136.38","-","1.41%"
"Sep 13, 2019","30,136.28","29,114.77","30,362.27","28,995.75","-","3.51%"
"Sep 12, 2019","29,114.77","28,617.92","29,162.90","28,381.70","-","1.74%"
"Sep 11, 2019","28,617.92","28,432.16","28,786.66","28,065.52","-","0.65%"
"Sep 10, 2019","28,432.16","27,176.41","28,465.72","27,176.41","-","4.62%"
"Sep 09, 2019","27,176.41","27,923.05","28,341.95","26,824.42","-","-1.75%"
"Sep 06, 2019","27,659.66","26,932.14","28,044.33","26,932.14","-","2.70%"
"Sep 05, 2019","26,932.14","24,664.55","27,060.28","24,664.55","-","9.19%"
"Sep 04, 2019","24,664.55","23,079.32","24,992.84","23,079.32","-","6.87%"
"Sep 03, 2019","23,079.32","26,195.41","26,234.30","22,484.40","-","-11.90%"
"Sep 02, 2019","26,195.41","24,608.56","26,255.65","24,539.55","-","6.45%"
"Aug 30, 2019","24,608.56","23,984.83","25,271.94","23,948.22","-","2.60%"
"Aug 29, 2019","23,984.83","25,458.04","25,458.04","23,861.87","-","-5.79%"
"Aug 28, 2019","25,458.04","24,622.47","25,582.50","24,602.40","-","3.39%"
"Aug 27, 2019","24,622.47","25,848.26","25,848.26","24,535.14","-","-4.74%"
"Aug 26, 2019","25,848.26","26,585.97","26,773.31","25,832.25","-","-2.77%"
"Aug 23, 2019","26,585.97","27,982.96","28,050.76","26,513.36","-","-4.99%"
"Aug 22, 2019","27,982.96","27,977.74","28,444.72","27,891.14","-","0.02%"
"Aug 21, 2019","27,977.74","27,230.62","28,053.94","27,230.62","-","2.74%"
"Aug 20, 2019","27,230.62","30,406.65","30,406.65","27,074.14","-","-10.45%"
"Aug 16, 2019","30,406.65","31,039.31","31,899.64","30,214.44","-","-2.04%"
"Aug 15, 2019","31,039.31","29,920.69","31,688.06","29,915.56","-","3.74%"
"Aug 14, 2019","29,920.69","30,393.13","30,993.99","28,917.01","-","-1.40%"
"Aug 13, 2019","30,344.56","27,530.80","31,011.00","27,530.80","-","10.22%"
"Aug 12, 2019","27,530.80","44,355.20","44,355.20","27,450.34","-","-37.93%"
"Aug 09, 2019","44,355.09","41,093.45","44,470.76","41,093.45","-","7.94%"
"Aug 08, 2019","41,093.45","40,949.34","41,623.30","40,845.37","-","0.35%"
"Aug 07, 2019","40,949.34","41,317.03","41,355.15","40,496.08","-","-0.89%"
"Aug 06, 2019","41,317.03","40,873.35","41,377.71","40,804.40","-","1.09%"
"Aug 05, 2019","40,873.35","41,359.15","41,359.15","40,470.87","-","-1.17%"
"Aug 02, 2019","41,359.15","41,410.98","41,651.40","40,572.68","-","-0.13%"
"Aug 01, 2019","41,410.98","42,057.77","42,492.78","41,220.28","-","-1.54%"
"Jul 31, 2019","42,057.77","42,463.24","42,722.32","41,804.62","-","-0.95%"
"Jul 30, 2019","42,463.24","42,785.46","42,836.75","42,417.96","-","-0.75%"
"Jul 29, 2019","42,785.46","41,983.74","43,069.98","41,743.16","-","1.91%"
"Jul 26, 2019","41,983.74","39,884.35","42,105.66","39,884.35","-","5.26%"
"Jul 25, 2019","39,884.35","39,784.91","40,053.49","39,425.46","-","0.25%"
"Jul 24, 2019","39,784.91","39,203.87","39,947.37","39,203.87","-","1.48%"
"Jul 23, 2019","39,203.87","38,729.98","39,254.38","38,548.23","-","1.22%"
"Jul 22, 2019","38,729.98","40,161.60","40,176.06","38,729.98","-","-3.56%"
"Jul 19, 2019","40,161.60","40,752.75","40,883.63","40,097.31","-","-1.45%"
"Jul 18, 2019","40,752.75","41,451.31","41,637.24","39,944.34","-","-1.69%"
"Jul 17, 2019","41,451.31","41,788.26","42,066.89","41,396.28","-","-0.81%"
"Jul 16, 2019","41,788.26","41,256.60","42,246.98","41,256.60","-","1.29%"
"Jul 15, 2019","41,256.60","42,753.20","42,881.72","41,233.56","-","-3.50%"
"Jul 12, 2019","42,753.10","42,856.29","43,165.63","42,660.53","-","-0.24%"
"Jul 11, 2019","42,856.29","42,807.08","43,292.62","42,744.41","-","0.11%"
"Jul 10, 2019","42,807.08","41,797.54","42,848.59","41,751.61","-","2.52%"
"Jul 05, 2019","41,755.69","41,428.50","41,943.40","41,380.91","-","0.91%"
"Jul 04, 2019","41,380.38","41,304.34","41,505.12","41,176.06","-","0.18%"
"Jul 03, 2019","41,304.34","41,793.13","42,104.18","41,261.95","-","-1.17%"
"Jul 02, 2019","41,793.13","41,507.48","42,126.14","41,506.78","-","0.69%"
"Jul 01, 2019","41,507.48","41,796.36","42,144.09","41,380.04","-","-0.69%"
"Jun 28, 2019","41,796.36","41,128.41","41,835.48","41,050.40","-","1.62%"
"Jun 27, 2019","41,128.41","39,916.77","41,393.01","39,895.02","-","3.04%"
"Jun 26, 2019","39,916.77","40,292.26","40,899.28","39,750.48","-","-0.93%"
"Jun 25, 2019","40,292.26","40,111.98","40,390.01","39,862.05","-","0.45%"
"Jun 24, 2019","40,111.98","40,294.82","40,300.76","39,579.22","-","-0.45%"
"Jun 21, 2019","40,294.82","39,861.82","40,614.79","39,861.82","-","1.09%"
"Jun 19, 2019","39,861.82","40,687.47","41,049.58","39,818.42","-","-2.03%"
"Jun 18, 2019","40,687.47","40,487.61","41,478.15","40,480.00","-","0.49%"
"Jun 14, 2019","40,487.61","40,646.38","40,993.45","40,384.93","-","-0.39%"
"Jun 13, 2019","40,646.28","40,930.69","40,966.06","39,518.99","-","-0.69%"
"Jun 12, 2019","40,930.69","38,345.00","40,972.04","38,345.00","-","6.74%"
"Jun 11, 2019","38,345.00","36,452.80","38,322.04","36,452.80","-","5.19%"
"Jun 10, 2019","36,452.80","35,662.87","36,575.56","35,632.82","-","2.21%"
"Jun 07, 2019","35,662.87","35,733.70","36,177.40","35,474.98","-","-0.20%"
"Jun 06, 2019","35,733.70","35,275.94","35,769.50","35,143.14","-","1.30%"
"Jun 05, 2019","35,275.94","34,700.84","35,451.47","34,700.84","-","1.66%"
"Jun 04, 2019","34,700.84","33,765.21","34,853.43","33,765.21","-","2.77%"
"Jun 03, 2019","33,765.21","33,949.53","34,419.05","33,278.73","-","-0.54%"
"May 31, 2019","33,949.53","34,239.26","34,654.86","33,858.03","-","-0.85%"
"May 30, 2019","34,239.26","33,967.33","34,725.30","33,967.33","-","0.80%"
"May 29, 2019","33,967.33","34,643.54","34,643.54","33,494.35","-","-1.95%"
"May 28, 2019","34,643.54","35,448.46","35,815.35","34,470.49","-","-2.27%"
"May 27, 2019","35,448.46","35,084.92","35,546.94","35,025.15","-","1.04%"
"May 24, 2019","35,084.92","34,378.55","35,130.79","34,361.13","-","2.05%"
"May 23, 2019","34,378.55","34,578.77","34,578.77","33,984.55","-","-0.58%"
"May 22, 2019","34,578.77","34,490.90","34,726.84","34,357.97","-","0.28%"
"May 21, 2019","34,481.33","33,492.48","34,564.48","33,492.48","-","2.95%"
"May 20, 2019","33,492.48","33,315.70","33,628.24","32,828.54","-","0.53%"
"May 17, 2019","33,315.70","33,892.17","34,122.85","33,178.37","-","-1.70%"
"May 16, 2019","33,892.17","33,218.06","34,129.31","33,215.74","-","2.03%"
"May 15, 2019","33,218.06","32,510.83","33,272.75","32,510.83","-","2.18%"
"May 14, 2019","32,510.83","32,452.49","33,191.57","32,452.49","-","0.65%"
"May 13, 2019","32,300.25","33,406.11","33,406.11","32,234.17","-","-3.27%"
"May 10, 2019","33,393.81","34,280.38","34,671.16","33,262.66","-","-2.13%"
"May 09, 2019","34,119.10","33,776.95","34,599.49","33,492.79","-","1.02%"
"May 08, 2019","33,775.97","32,741.13","33,949.77","32,741.13","-","3.16%"
"May 07, 2019","32,741.13","33,051.05","33,051.68","32,244.31","-","-0.79%"
"May 06, 2019","33,001.08","32,412.27","33,109.17","31,960.14","-","1.82%"
"May 03, 2019","32,412.27","30,857.06","32,446.93","30,820.10","-","5.18%"
"May 02, 2019","30,817.01","29,571.36","30,876.23","29,571.36","-","4.21%"
"Apr 30, 2019","29,571.36","28,859.58","29,614.97","28,859.58","-","2.58%"
"Apr 29, 2019","28,827.37","30,001.10","30,001.10","28,821.06","-","-3.91%"
"Apr 26, 2019","30,001.10","29,556.77","30,079.23","29,211.94","-","1.50%"
"Apr 25, 2019","29,556.77","29,746.60","30,038.46","28,309.75","-","-0.64%"
"Apr 24, 2019","29,746.60","30,926.73","30,926.73","29,669.90","-","-3.82%"
"Apr 23, 2019","30,926.73","30,786.64","31,483.24","30,783.15","-","0.46%"
"Apr 22, 2019","30,786.64","32,036.78","32,036.78","30,571.37","-","-3.90%"
"Apr 17, 2019","32,036.78","32,406.41","32,426.26","31,955.98","-","-0.78%"
"Apr 16, 2019","32,290.18","31,775.18","32,424.77","31,775.18","-","1.72%"
"Apr 15, 2019","31,745.57","31,373.64","31,815.97","31,226.42","-","1.24%"
"Apr 12, 2019","31,357.03","31,501.04","31,633.60","31,141.47","-","-0.46%"
"Apr 11, 2019","31,501.04","32,228.12","32,228.12","31,167.05","-","-2.03%"
"Apr 10, 2019","32,154.54","31,743.38","32,485.10","31,743.38","-","1.30%"
"Apr 09, 2019","31,743.38","33,080.87","33,122.11","31,595.72","-","-4.04%"
"Apr 08, 2019","33,080.87","32,666.88","33,190.69","32,666.88","-","1.27%"
"Apr 05, 2019","32,666.88","32,142.47","32,941.48","32,142.47","-","1.63%"
"Apr 04, 2019","32,142.47","31,765.11","32,410.76","31,765.11","-","1.19%"
"Apr 03, 2019","31,765.11","33,006.82","33,006.82","31,722.73","-","-3.76%"
"Apr 01, 2019","33,006.82","33,466.03","33,876.13","32,947.80","-","-1.37%"
"Mar 29, 2019","33,466.03","32,892.15","33,634.05","32,892.15","-","1.74%"
"Mar 28, 2019","32,892.15","32,174.68","32,917.26","32,174.68","-","2.23%"
"Mar 27, 2019","32,174.68","32,627.59","32,627.59","31,709.55","-","-1.39%"
"Mar 26, 2019","32,627.59","33,166.32","33,861.13","32,233.72","-","-1.62%"
"Mar 25, 2019","33,166.32","32,827.98","33,498.05","32,674.33","-","1.03%"
"Mar 22, 2019","32,827.98","34,186.08","34,186.08","32,740.53","-","-3.97%"
"Mar 21, 2019","34,186.08","34,743.90","34,875.86","34,079.38","-","-1.61%"
"Mar 20, 2019","34,743.90","34,373.20","35,155.51","34,373.20","-","1.08%"
"Mar 19, 2019","34,373.20","34,939.30","35,647.67","34,361.19","-","-1.62%"
"Mar 18, 2019","34,939.30","33,933.08","34,968.63","33,933.08","-","2.97%"
"Mar 15, 2019","33,933.08","33,530.45","34,055.17","33,530.45","-","1.20%"
"Mar 14, 2019","33,530.45","34,023.02","34,128.78","33,390.80","-","-1.45%"
"Mar 13, 2019","34,023.02","33,640.59","34,411.60","33,640.59","-","1.14%"
"Mar 12, 2019","33,640.59","33,790.68","34,328.31","33,522.79","-","-0.44%"
"Mar 11, 2019","33,790.68","33,020.07","33,989.27","33,020.07","-","2.33%"
"Mar 08, 2019","33,020.07","33,189.91","33,598.12","32,802.30","-","-0.51%"
"Mar 07, 2019","33,189.91","32,340.43","33,374.89","32,092.20","-","2.63%"
"Mar 06, 2019","32,340.43","33,834.86","33,838.47","32,290.55","-","-4.42%"
"Mar 01, 2019","33,834.86","34,485.80","35,117.69","33,686.13","-","-1.89%"
"Feb 28, 2019","34,485.80","35,345.47","35,413.09","34,289.51","-","-2.43%"
"Feb 27, 2019","35,345.47","36,026.63","36,097.88","35,254.21","-","-1.89%"
"Feb 26, 2019","36,026.63","36,332.03","36,341.78","35,641.05","-","-0.84%"
"Feb 25, 2019","36,332.03","36,646.79","37,165.24","36,061.64","-","-0.86%"
"Feb 22, 2019","36,646.79","35,852.14","36,716.43","35,852.14","-","2.22%"
"Feb 21, 2019","35,852.14","36,503.51","36,619.96","35,837.28","-","-1.78%"
"Feb 20, 2019","36,503.51","36,292.29","37,648.71","36,292.29","-","0.58%"
"Feb 19, 2019","36,292.29","37,355.24","37,417.92","36,251.29","-","-2.85%"
"Feb 18, 2019","37,355.24","37,469.97","37,533.17","37,246.62","-","-0.31%"
"Feb 15, 2019","37,469.97","37,385.75","37,601.73","37,168.98","-","0.23%"
"Feb 14, 2019","37,385.75","37,038.92","37,431.19","36,844.01","-","0.94%"
"Feb 13, 2019","37,038.92","37,685.96","37,874.94","36,963.53","-","-1.72%"
"Feb 12, 2019","37,685.96","37,023.74","37,720.82","37,023.74","-","1.79%"
"Feb 11, 2019","37,023.74","36,664.24","37,180.86","36,664.24","-","0.98%"
"Feb 08, 2019","36,664.24","35,928.99","36,695.46","35,752.18","-","2.05%"
"Feb 07, 2019","35,928.99","36,731.67","36,731.67","35,694.07","-","-2.19%"
"Feb 06, 2019","36,731.67","37,471.67","37,562.08","36,698.30","-","-1.97%"
