"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","17,040.20","17,099.15","17,117.17","17,040.20","155.88M","-0.43%"
"Nov 28, 2019","17,114.52","17,086.76","17,120.90","17,077.78","63.77M","0.08%"
"Nov 27, 2019","17,100.57","17,046.59","17,104.30","17,023.27","176.17M","0.38%"
"Nov 26, 2019","17,035.88","17,016.88","17,048.22","16,975.65","328.52M","0.02%"
"Nov 25, 2019","17,032.86","16,980.58","17,048.47","16,972.74","218.63M","0.46%"
"Nov 22, 2019","16,954.84","17,012.54","17,012.54","16,935.72","199.58M","-0.26%"
"Nov 21, 2019","16,999.19","17,019.53","17,019.53","16,950.79","236.46M","-0.04%"
"Nov 20, 2019","17,005.82","16,992.14","17,040.60","16,962.61","238.35M","-0.03%"
"Nov 19, 2019","17,011.40","17,033.91","17,033.91","16,963.91","224.99M","-0.08%"
"Nov 18, 2019","17,025.11","17,003.84","17,025.11","16,994.47","206.18M","-0.02%"
"Nov 15, 2019","17,028.47","16,982.66","17,035.96","16,977.96","189.37M","0.33%"
"Nov 14, 2019","16,972.18","16,959.89","16,984.05","16,939.06","166.39M","0.08%"
"Nov 13, 2019","16,957.99","16,891.58","16,987.29","16,880.68","184.51M","0.29%"
"Nov 12, 2019","16,909.38","16,898.12","16,927.46","16,884.81","230.96M","0.16%"
"Nov 11, 2019","16,882.83","16,834.79","16,895.12","16,819.85","153.06M","0.03%"
"Nov 08, 2019","16,877.42","16,795.72","16,879.65","16,795.72","207.48M","0.43%"
"Nov 07, 2019","16,805.75","16,797.31","16,834.43","16,788.63","242.58M","0.36%"
"Nov 06, 2019","16,745.64","16,692.97","16,766.58","16,666.88","217.18M","0.38%"
"Nov 05, 2019","16,681.92","16,663.90","16,696.78","16,660.27","229.38M","0.07%"
"Nov 04, 2019","16,669.81","16,646.09","16,681.60","16,642.46","244.78M","0.46%"
"Nov 01, 2019","16,594.07","16,537.72","16,608.00","16,534.93","201.18M","0.67%"
"Oct 31, 2019","16,483.16","16,473.31","16,483.16","16,409.51","222.28M","-0.11%"
"Oct 30, 2019","16,501.43","16,412.45","16,501.45","16,373.54","160.01M","0.51%"
"Oct 29, 2019","16,418.14","16,330.94","16,454.11","16,315.57","178.12M","0.19%"
"Oct 28, 2019","16,387.53","16,434.44","16,453.24","16,387.53","162.18M","-0.10%"
"Oct 25, 2019","16,404.49","16,369.75","16,425.04","16,356.48","173.51M","0.21%"
"Oct 24, 2019","16,369.32","16,380.83","16,412.08","16,332.48","167.16M","0.20%"
"Oct 23, 2019","16,335.93","16,386.13","16,395.94","16,309.18","181.91M","-0.34%"
"Oct 22, 2019","16,391.52","16,470.28","16,484.84","16,391.52","171.98M","-0.16%"
"Oct 21, 2019","16,418.45","16,421.04","16,443.29","16,412.07","155.11M","0.25%"
"Oct 18, 2019","16,377.12","16,452.73","16,462.12","16,376.60","166.42M","-0.30%"
"Oct 17, 2019","16,426.30","16,450.51","16,468.78","16,400.54","168.40M","-0.01%"
"Oct 16, 2019","16,427.18","16,435.10","16,445.59","16,408.73","165.97M","0.05%"
"Oct 15, 2019","16,418.39","16,433.73","16,510.65","16,417.75","212.33M","0.02%"
"Oct 11, 2019","16,415.16","16,487.17","16,516.71","16,413.44","200.75M","-0.05%"
"Oct 10, 2019","16,422.68","16,375.36","16,444.35","16,358.10","186.02M","0.26%"
