"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","2,126.62","2,126.62","2,126.62","2,126.62","-","-0.03%"
"Nov 28, 2019","2,127.23","2,127.23","2,127.23","2,127.23","-","-0.12%"
"Nov 27, 2019","2,129.83","2,129.83","2,129.83","2,129.83","-","-0.08%"
"Nov 26, 2019","2,131.61","2,131.61","2,131.61","2,131.61","-","0.02%"
"Nov 25, 2019","2,131.19","2,131.19","2,131.19","2,131.19","-","-0.15%"
"Nov 22, 2019","2,134.46","2,134.46","2,134.46","2,134.46","-","0.00%"
"Nov 21, 2019","2,134.39","2,134.39","2,134.39","2,134.39","-","0.02%"
"Nov 20, 2019","2,134.04","2,134.04","2,134.04","2,134.04","-","-0.14%"
"Nov 19, 2019","2,137.01","2,137.01","2,137.01","2,137.01","-","-0.10%"
"Nov 18, 2019","2,139.21","2,139.21","2,139.21","2,139.21","-","-0.14%"
"Nov 15, 2019","2,142.28","2,142.28","2,142.28","2,142.28","-","0.07%"
"Nov 14, 2019","2,140.69","2,140.69","2,140.69","2,140.69","-","0.59%"
"Nov 13, 2019","2,128.19","2,128.19","2,128.19","2,128.19","-","0.53%"
"Nov 12, 2019","2,116.92","2,116.92","2,116.92","2,116.92","-","0.07%"
"Nov 11, 2019","2,115.36","2,115.36","2,115.36","2,115.36","-","-0.47%"
"Nov 08, 2019","2,125.33","2,125.33","2,125.33","2,125.33","-","0.03%"
"Nov 06, 2019","2,124.59","2,124.59","2,124.59","2,124.59","-","0.04%"
"Nov 05, 2019","2,123.70","2,123.70","2,123.70","2,123.70","-","0.32%"
"Nov 04, 2019","2,116.92","2,116.92","2,116.92","2,116.92","-","-0.09%"
"Oct 31, 2019","2,118.84","2,118.84","2,118.84","2,118.84","-","0.08%"
"Oct 30, 2019","2,117.11","2,117.11","2,117.11","2,117.11","-","-0.01%"
"Oct 29, 2019","2,117.31","2,117.31","2,117.31","2,117.31","-","-0.36%"
"Oct 28, 2019","2,124.97","2,124.97","2,124.97","2,124.97","-","0.23%"
"Oct 25, 2019","2,120.17","2,120.17","2,120.17","2,120.17","-","0.62%"
"Oct 24, 2019","2,107.03","2,107.03","2,107.03","2,107.03","-","0.15%"
"Oct 23, 2019","2,103.81","2,103.81","2,103.81","2,103.81","-","-0.08%"
"Oct 22, 2019","2,105.51","2,105.51","2,105.51","2,105.51","-","-0.19%"
"Oct 21, 2019","2,109.62","2,109.62","2,109.62","2,109.62","-","-0.20%"
"Oct 18, 2019","2,113.88","2,113.88","2,113.88","2,113.88","-","-0.20%"
"Oct 17, 2019","2,118.01","2,118.01","2,118.01","2,118.01","-","-0.10%"
"Oct 16, 2019","2,120.14","2,120.14","2,120.14","2,120.14","-","-0.14%"
"Oct 15, 2019","2,123.21","2,123.21","2,123.21","2,123.21","-","-0.41%"
"Oct 14, 2019","2,131.94","2,131.94","2,131.94","2,131.94","-","-0.17%"
"Oct 11, 2019","2,135.49","2,135.49","2,135.49","2,135.49","-","0.23%"
"Oct 10, 2019","2,130.50","2,130.50","2,130.50","2,130.50","-","0.13%"
"Oct 09, 2019","2,127.64","2,127.64","2,127.64","2,127.64","-","0.27%"
"Oct 08, 2019","2,121.93","2,121.93","2,121.93","2,121.93","-","-0.36%"
"Oct 07, 2019","2,129.61","2,129.61","2,129.61","2,129.61","-","0.44%"
"Oct 04, 2019","2,120.19","2,120.19","2,120.19","2,120.19","-","0.07%"
"Oct 03, 2019","2,118.68","2,118.68","2,118.68","2,118.68","-","-0.53%"
"Oct 02, 2019","2,129.92","2,129.92","2,129.92","2,129.92","-","-0.27%"
"Oct 01, 2019","2,135.66","2,135.66","2,135.66","2,135.66","-","0.43%"
"Sep 30, 2019","2,126.42","2,126.42","2,126.42","2,126.42","-","0.46%"
"Sep 27, 2019","2,116.74","2,116.74","2,116.74","2,116.74","-","0.59%"
"Sep 26, 2019","2,104.38","2,104.38","2,104.38","2,104.38","-","-0.22%"
"Sep 25, 2019","2,108.92","2,108.92","2,108.92","2,108.92","-","0.12%"
"Sep 24, 2019","2,106.37","2,106.37","2,106.37","2,106.37","-","-0.12%"
"Sep 23, 2019","2,109.00","2,109.00","2,109.00","2,109.00","-","-0.08%"
"Sep 20, 2019","2,110.78","2,110.78","2,110.78","2,110.78","-","-0.02%"
"Sep 19, 2019","2,111.19","2,111.19","2,111.19","2,111.19","-","0.04%"
"Sep 18, 2019","2,110.27","2,110.27","2,110.27","2,110.27","-","0.04%"
"Sep 17, 2019","2,109.34","2,109.34","2,109.34","2,109.34","-","-0.04%"
"Sep 16, 2019","2,110.14","2,110.14","2,110.14","2,110.14","-","-0.06%"
"Sep 13, 2019","2,111.40","2,111.40","2,111.40","2,111.40","-","0.44%"
"Sep 12, 2019","2,102.15","2,102.15","2,102.15","2,102.15","-","-0.76%"
