"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 28, 2019","1,702.52","1,694.70","1,702.52","1,689.91","79.03M","0.71%"
"Nov 27, 2019","1,690.46","1,685.41","1,693.50","1,683.93","28.47M","0.12%"
"Nov 26, 2019","1,688.38","1,682.65","1,690.18","1,681.60","29.31M","0.43%"
"Nov 25, 2019","1,681.14","1,663.22","1,681.14","1,663.22","35.66M","1.27%"
"Nov 24, 2019","1,660.08","1,660.34","1,662.39","1,657.63","12.11M","0.12%"
"Nov 21, 2019","1,658.13","1,666.03","1,666.95","1,656.40","29.20M","-0.43%"
"Nov 20, 2019","1,665.36","1,665.03","1,666.26","1,659.29","25.50M","-0.42%"
"Nov 19, 2019","1,672.32","1,667.77","1,675.17","1,665.97","32.47M","0.39%"
"Nov 18, 2019","1,665.78","1,675.00","1,676.92","1,663.93","42.97M","-0.50%"
"Nov 17, 2019","1,674.09","1,677.70","1,679.23","1,673.71","15.25M","0.60%"
"Nov 14, 2019","1,664.07","1,667.54","1,667.54","1,661.25","41.44M","0.33%"
"Nov 13, 2019","1,658.65","1,659.29","1,662.47","1,653.46","48.09M","-0.01%"
"Nov 12, 2019","1,658.85","1,656.61","1,658.85","1,650.96","25.35M","-0.08%"
"Nov 11, 2019","1,660.21","1,661.77","1,663.61","1,658.11","37.51M","-0.44%"
"Nov 10, 2019","1,667.47","1,671.31","1,673.15","1,665.41","24.13M","-0.08%"
"Nov 07, 2019","1,668.76","1,670.10","1,670.10","1,662.78","55.65M","0.28%"
"Nov 06, 2019","1,664.04","1,668.85","1,672.14","1,664.04","34.46M","-0.45%"
"Nov 05, 2019","1,671.60","1,670.08","1,674.37","1,666.17","31.38M","0.20%"
"Nov 04, 2019","1,668.24","1,670.20","1,677.01","1,668.24","27.29M","-0.01%"
"Nov 03, 2019","1,668.33","1,663.16","1,669.08","1,661.85","19.81M","0.86%"
"Oct 31, 2019","1,654.13","1,649.66","1,660.31","1,645.04","43.58M","0.06%"
"Oct 30, 2019","1,653.10","1,659.43","1,662.93","1,651.70","21.13M","-0.47%"
"Oct 29, 2019","1,660.83","1,658.73","1,661.22","1,654.94","34.41M","0.00%"
"Oct 28, 2019","1,660.83","1,658.05","1,664.45","1,655.19","34.49M","0.17%"
"Oct 27, 2019","1,658.05","1,659.76","1,661.34","1,655.40","15.25M","0.29%"
"Oct 24, 2019","1,653.18","1,664.09","1,667.21","1,650.45","61.10M","0.01%"
"Oct 23, 2019","1,653.06","1,652.48","1,662.52","1,647.85","46.83M","-0.20%"
"Oct 22, 2019","1,656.41","1,662.31","1,662.85","1,654.66","41.00M","0.47%"
"Oct 17, 2019","1,648.74","1,642.29","1,652.59","1,641.52","24.97M","-0.11%"
"Oct 16, 2019","1,650.62","1,636.75","1,650.62","1,634.13","15.46M","1.21%"
"Oct 15, 2019","1,630.81","1,628.32","1,632.08","1,626.99","20.58M","1.20%"
"Oct 10, 2019","1,611.46","1,608.00","1,611.46","1,603.26","27.24M","-0.11%"
"Oct 07, 2019","1,613.25","1,609.78","1,614.44","1,606.78","27.32M","-0.02%"
"Oct 06, 2019","1,613.61","1,608.85","1,613.61","1,608.84","16.37M","1.49%"
"Oct 03, 2019","1,589.87","1,606.13","1,606.13","1,589.87","37.79M","-0.81%"
"Oct 02, 2019","1,602.89","1,610.65","1,611.51","1,597.32","37.38M","-0.78%"
"Sep 26, 2019","1,615.48","1,628.39","1,628.39","1,614.67","74.87M","0.64%"
"Sep 25, 2019","1,605.25","1,605.64","1,608.68","1,599.69","24.22M","-0.18%"
"Sep 24, 2019","1,608.10","1,608.96","1,611.16","1,604.83","28.33M","0.07%"
"Sep 23, 2019","1,606.92","1,615.00","1,618.88","1,605.78","31.96M","-0.27%"
"Sep 22, 2019","1,611.21","1,609.54","1,611.21","1,606.71","10.34M","-0.63%"
"Sep 19, 2019","1,621.49","1,616.81","1,625.47","1,613.50","51.48M","0.30%"
"Sep 18, 2019","1,616.59","1,605.91","1,626.83","1,605.14","35.96M","0.49%"
"Sep 16, 2019","1,608.77","1,604.84","1,608.77","1,597.17","28.19M","-0.02%"
"Sep 15, 2019","1,609.16","1,613.12","1,615.92","1,609.13","12.15M","-0.40%"
"Sep 12, 2019","1,615.61","1,614.10","1,617.80","1,607.28","60.39M","0.65%"
"Sep 11, 2019","1,605.23","1,592.26","1,605.84","1,592.15","60.16M","1.29%"
"Sep 10, 2019","1,584.80","1,578.06","1,585.57","1,574.37","71.53M","0.55%"
"Sep 09, 2019","1,576.20","1,570.39","1,576.20","1,566.09","31.72M","0.26%"
"Sep 08, 2019","1,572.16","1,576.21","1,577.63","1,571.57","19.71M","0.63%"
"Sep 05, 2019","1,562.28","1,565.96","1,567.33","1,556.51","111.33M","0.25%"
"Sep 04, 2019","1,558.45","1,555.55","1,563.92","1,555.47","45.53M","0.83%"
"Sep 03, 2019","1,545.58","1,556.24","1,556.24","1,545.35","42.76M","-0.76%"
"Sep 02, 2019","1,557.41","1,561.03","1,566.50","1,555.38","23.96M","-0.18%"
"Sep 01, 2019","1,560.26","1,559.72","1,564.52","1,559.72","10.59M","-0.11%"
"Aug 29, 2019","1,561.98","1,563.32","1,564.83","1,555.87","101.77M","1.46%"
"Aug 28, 2019","1,539.45","1,545.17","1,547.31","1,532.68","47.79M","-0.75%"
"Aug 27, 2019","1,551.03","1,561.43","1,563.24","1,547.55","40.91M","-0.36%"
"Aug 26, 2019","1,556.56","1,544.27","1,562.18","1,543.54","28.07M","0.84%"
"Aug 25, 2019","1,543.59","1,556.36","1,556.36","1,543.59","26.12M","-3.23%"
"Aug 22, 2019","1,595.05","1,582.88","1,601.06","1,582.03","34.34M","0.24%"
"Aug 21, 2019","1,591.28","1,580.84","1,594.96","1,580.84","26.60M","0.66%"
"Aug 20, 2019","1,580.80","1,577.72","1,580.80","1,567.35","26.22M","0.27%"
"Aug 19, 2019","1,576.47","1,564.44","1,576.47","1,555.32","43.79M","1.42%"
"Aug 18, 2019","1,554.40","1,565.88","1,570.21","1,547.96","16.07M","0.08%"
"Aug 15, 2019","1,553.21","1,563.96","1,572.87","1,542.26","63.77M","-0.72%"
"Aug 14, 2019","1,564.42","1,611.39","1,612.43","1,561.35","92.13M","-2.89%"
"Aug 13, 2019","1,611.03","1,595.65","1,611.03","1,590.66","33.22M","0.35%"
"Aug 12, 2019","1,605.48","1,618.01","1,623.50","1,602.20","29.17M","-0.56%"
"Aug 08, 2019","1,614.53","1,613.99","1,619.31","1,601.94","47.97M","1.87%"
"Aug 07, 2019","1,584.84","1,599.37","1,613.38","1,576.77","44.55M","-1.10%"
"Aug 06, 2019","1,602.45","1,596.89","1,611.39","1,591.08","57.84M","0.54%"
"Aug 05, 2019","1,593.79","1,613.45","1,613.45","1,593.79","37.83M","-2.06%"
"Aug 04, 2019","1,627.32","1,611.86","1,630.43","1,610.20","21.85M","-0.23%"
"Aug 01, 2019","1,631.09","1,618.38","1,634.64","1,613.64","209.20M","0.41%"
"Jul 31, 2019","1,624.42","1,616.78","1,626.37","1,616.70","45.58M","0.86%"
"Jul 30, 2019","1,610.54","1,614.99","1,616.19","1,604.12","60.13M","-0.22%"
"Jul 29, 2019","1,614.02","1,620.31","1,623.94","1,613.39","37.34M","-0.46%"
"Jul 28, 2019","1,621.52","1,614.99","1,623.92","1,614.67","19.14M","0.75%"
"Jul 25, 2019","1,609.52","1,620.17","1,621.65","1,604.28","97.31M","-0.06%"
"Jul 24, 2019","1,610.49","1,592.04","1,611.23","1,590.01","45.92M","1.28%"
"Jul 23, 2019","1,590.13","1,573.21","1,591.09","1,570.37","39.70M","1.27%"
"Jul 22, 2019","1,570.13","1,567.49","1,574.22","1,567.49","24.34M","0.37%"
"Jul 21, 2019","1,564.36","1,560.84","1,565.13","1,555.36","11.96M","0.00%"
"Jul 18, 2019","1,564.30","1,570.34","1,572.08","1,560.83","41.56M","-0.66%"
"Jul 17, 2019","1,574.62","1,588.69","1,591.82","1,574.49","30.93M","-1.11%"
"Jul 16, 2019","1,592.36","1,598.94","1,599.89","1,590.15","36.23M","-0.41%"
"Jul 15, 2019","1,598.93","1,602.88","1,606.11","1,595.93","30.58M","-0.37%"
"Jul 14, 2019","1,604.82","1,608.95","1,609.74","1,604.39","7.38M","0.45%"
"Jul 11, 2019","1,597.67","1,606.55","1,606.69","1,595.63","28.09M","-0.40%"
"Jul 10, 2019","1,604.05","1,600.22","1,607.52","1,598.40","60.09M","0.25%"
"Jul 09, 2019","1,600.05","1,589.36","1,600.05","1,587.60","40.86M","0.18%"
"Jul 08, 2019","1,597.21","1,597.33","1,599.32","1,592.66","82.73M","-0.41%"
"Jul 07, 2019","1,603.84","1,603.27","1,606.21","1,601.58","24.35M","-0.16%"
"Jul 04, 2019","1,606.35","1,604.06","1,608.16","1,601.30","35.12M","0.30%"
"Jul 03, 2019","1,601.59","1,597.64","1,604.06","1,595.34","42.93M","0.40%"
"Jul 02, 2019","1,595.14","1,596.20","1,598.37","1,590.93","33.16M","0.07%"
"Jul 01, 2019","1,594.02","1,601.76","1,605.99","1,593.78","43.58M","-0.25%"
"Jun 30, 2019","1,598.05","1,591.54","1,598.35","1,591.54","26.25M","1.20%"
"Jun 27, 2019","1,579.05","1,580.65","1,586.09","1,578.64","111.96M","0.36%"
"Jun 26, 2019","1,573.37","1,567.67","1,579.39","1,567.58","38.43M","0.28%"
"Jun 25, 2019","1,568.90","1,570.44","1,573.93","1,567.28","52.38M","-0.33%"
"Jun 24, 2019","1,574.03","1,579.84","1,583.93","1,571.98","53.78M","-0.19%"
"Jun 23, 2019","1,577.10","1,577.08","1,577.93","1,572.67","17.10M","0.06%"
"Jun 20, 2019","1,576.19","1,577.92","1,582.43","1,576.19","91.33M","0.61%"
"Jun 19, 2019","1,566.67","1,561.83","1,566.67","1,559.75","142.24M","0.25%"
"Jun 18, 2019","1,562.74","1,550.00","1,565.04","1,543.08","58.70M","0.90%"
"Jun 17, 2019","1,548.82","1,557.56","1,557.56","1,543.76","52.49M","-0.32%"
"Jun 16, 2019","1,553.83","1,551.39","1,557.89","1,551.39","10.38M","-0.26%"
"Jun 13, 2019","1,557.95","1,542.81","1,558.72","1,542.40","46.38M","0.98%"
"Jun 12, 2019","1,542.77","1,543.00","1,545.36","1,540.76","67.11M","-0.71%"
"Jun 11, 2019","1,553.85","1,559.87","1,560.36","1,551.99","44.07M","-0.38%"
"Jun 10, 2019","1,559.80","1,557.90","1,559.80","1,553.38","44.48M","1.20%"
"Jun 06, 2019","1,541.28","1,552.83","1,552.83","1,540.38","74.89M","-0.27%"
"Jun 05, 2019","1,545.47","1,546.92","1,552.90","1,542.07","113.06M","0.30%"
"Jun 04, 2019","1,540.82","1,526.72","1,543.34","1,525.74","54.76M","0.83%"
"Jun 03, 2019","1,528.08","1,524.69","1,530.03","1,517.38","64.84M","0.26%"
"Jun 02, 2019","1,524.06","1,523.05","1,524.09","1,517.19","25.58M","-1.32%"
"May 30, 2019","1,544.44","1,547.59","1,549.32","1,537.25","120.93M","0.42%"
"May 29, 2019","1,538.01","1,545.58","1,548.67","1,534.53","123.08M","-1.54%"
"May 28, 2019","1,562.08","1,568.94","1,570.23","1,560.53","264.34M","-0.24%"
"May 27, 2019","1,565.87","1,574.19","1,577.12","1,563.77","60.15M","-0.25%"
"May 26, 2019","1,569.84","1,563.46","1,569.84","1,557.86","42.00M","0.38%"
"May 23, 2019","1,563.97","1,576.07","1,576.07","1,563.88","65.40M","-1.13%"
"May 22, 2019","1,581.82","1,569.78","1,581.82","1,566.97","57.93M","0.69%"
"May 21, 2019","1,570.93","1,574.17","1,577.11","1,563.70","48.36M","0.61%"
"May 20, 2019","1,561.42","1,574.21","1,577.66","1,554.33","52.09M","-0.70%"
"May 19, 2019","1,572.46","1,567.87","1,574.08","1,566.42","20.48M","0.18%"
"May 16, 2019","1,569.59","1,551.74","1,569.59","1,548.71","88.95M","1.71%"
"May 15, 2019","1,543.27","1,557.58","1,558.71","1,534.37","71.25M","-0.72%"
"May 14, 2019","1,554.44","1,543.00","1,556.96","1,543.00","81.11M","1.06%"
"May 13, 2019","1,538.08","1,567.83","1,570.65","1,537.92","60.95M","-2.39%"
"May 12, 2019","1,575.68","1,579.37","1,579.82","1,572.34","26.62M","-0.58%"
"May 07, 2019","1,584.95","1,581.58","1,591.32","1,579.32","129.05M","0.67%"
"May 06, 2019","1,574.42","1,568.08","1,574.67","1,564.33","56.27M","-0.98%"
"May 05, 2019","1,589.93","1,595.89","1,597.87","1,584.96","19.54M","0.10%"
"May 02, 2019","1,588.41","1,589.22","1,597.02","1,582.47","108.42M","-0.64%"
"May 01, 2019","1,598.61","1,606.33","1,610.21","1,593.87","48.57M","-0.03%"
"Apr 30, 2019","1,599.08","1,619.65","1,620.27","1,598.21","52.96M","-1.34%"
"Apr 29, 2019","1,620.77","1,626.25","1,629.03","1,620.38","55.65M","-0.39%"
"Apr 28, 2019","1,627.17","1,623.24","1,630.22","1,623.24","26.58M","0.77%"
"Apr 24, 2019","1,614.67","1,606.85","1,615.32","1,602.39","76.79M","1.17%"
"Apr 23, 2019","1,596.04","1,592.96","1,597.01","1,588.79","34.58M","0.72%"
"Apr 22, 2019","1,584.61","1,590.85","1,591.87","1,582.03","16.30M","-0.55%"
"Apr 21, 2019","1,593.40","1,592.31","1,595.32","1,590.68","17.58M","0.56%"
"Apr 18, 2019","1,584.56","1,595.67","1,595.67","1,580.16","51.65M","-0.56%"
"Apr 17, 2019","1,593.51","1,606.38","1,607.62","1,591.21","45.87M","-0.78%"
"Apr 16, 2019","1,605.99","1,599.39","1,608.93","1,599.08","71.89M","0.58%"
"Apr 15, 2019","1,596.75","1,601.44","1,602.19","1,595.71","55.67M","-0.13%"
"Apr 14, 2019","1,598.88","1,591.92","1,602.17","1,591.92","24.74M","0.80%"
"Apr 11, 2019","1,586.26","1,593.95","1,593.95","1,582.29","50.11M","0.17%"
"Apr 10, 2019","1,583.58","1,578.66","1,588.46","1,577.44","53.81M","0.76%"
"Apr 08, 2019","1,571.58","1,561.87","1,579.15","1,558.95","115.04M","0.64%"
"Apr 07, 2019","1,561.52","1,558.75","1,562.48","1,555.46","55.96M","0.75%"
"Apr 04, 2019","1,549.93","1,556.35","1,556.35","1,549.90","90.35M","-0.57%"
"Apr 03, 2019","1,558.74","1,557.54","1,563.53","1,553.13","49.38M","0.20%"
"Apr 02, 2019","1,555.57","1,552.49","1,558.34","1,550.34","40.90M","0.06%"
"Apr 01, 2019","1,554.71","1,551.29","1,555.62","1,551.29","42.74M","0.77%"
"Mar 31, 2019","1,542.80","1,540.04","1,544.59","1,539.02","22.69M","1.01%"
"Mar 28, 2019","1,527.35","1,527.26","1,534.40","1,527.14","91.43M","-1.03%"
"Mar 27, 2019","1,543.30","1,545.47","1,548.66","1,539.01","48.22M","0.02%"
"Mar 26, 2019","1,543.04","1,528.22","1,544.76","1,525.65","56.77M","1.34%"
"Mar 25, 2019","1,522.59","1,519.50","1,525.80","1,518.04","38.98M","-0.53%"
"Mar 24, 2019","1,530.71","1,529.39","1,530.71","1,524.88","25.68M","-1.31%"
"Mar 20, 2019","1,551.10","1,557.57","1,557.57","1,547.21","71.18M","-0.32%"
"Mar 19, 2019","1,556.04","1,553.78","1,563.78","1,550.32","41.40M","-0.05%"
"Mar 18, 2019","1,556.77","1,565.35","1,565.89","1,552.44","35.86M","-0.35%"
"Mar 17, 2019","1,562.25","1,558.10","1,564.65","1,556.00","10.64M","0.66%"
"Mar 14, 2019","1,552.02","1,551.37","1,558.74","1,545.60","75.25M","-0.38%"
"Mar 13, 2019","1,557.91","1,536.30","1,557.91","1,534.18","48.04M","1.30%"
"Mar 12, 2019","1,537.89","1,552.55","1,555.88","1,537.89","36.85M","-0.58%"
"Mar 11, 2019","1,546.90","1,541.93","1,546.94","1,534.74","31.80M","0.57%"
"Mar 10, 2019","1,538.19","1,544.81","1,545.21","1,536.68","14.80M","-0.30%"
"Mar 07, 2019","1,542.83","1,555.77","1,559.57","1,542.83","64.85M","-1.44%"
"Mar 06, 2019","1,565.45","1,572.50","1,572.60","1,564.81","27.01M","-0.30%"
"Mar 05, 2019","1,570.23","1,580.12","1,581.31","1,567.74","38.79M","-0.86%"
"Mar 04, 2019","1,583.92","1,581.74","1,588.59","1,580.81","42.80M","0.35%"
"Mar 03, 2019","1,578.39","1,577.22","1,579.55","1,574.56","14.77M","0.46%"
"Feb 28, 2019","1,571.21","1,559.72","1,572.12","1,554.34","43.09M","0.49%"
"Feb 27, 2019","1,563.58","1,576.73","1,577.13","1,560.58","34.91M","-1.20%"
"Feb 26, 2019","1,582.57","1,582.20","1,584.11","1,577.70","38.57M","-0.34%"
"Feb 25, 2019","1,587.96","1,579.51","1,591.61","1,579.51","36.33M","0.87%"
"Feb 24, 2019","1,574.34","1,571.52","1,576.28","1,569.63","12.81M","0.28%"
"Feb 21, 2019","1,569.92","1,582.34","1,582.34","1,567.35","85.81M","-0.53%"
"Feb 20, 2019","1,578.36","1,569.79","1,579.67","1,569.58","65.65M","0.62%"
"Feb 19, 2019","1,568.59","1,568.44","1,570.73","1,564.56","33.42M","0.00%"
"Feb 18, 2019","1,568.55","1,568.63","1,569.69","1,565.17","22.83M","0.05%"
"Feb 17, 2019","1,567.72","1,566.69","1,570.96","1,566.20","20.44M","0.71%"
