"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","2,026.95","2,026.95","2,026.95","2,026.95","-","1.02%"
"Nov 28, 2019","2,006.56","2,006.56","2,006.56","2,006.56","-","-0.37%"
"Nov 27, 2019","2,014.09","2,014.09","2,014.09","2,014.09","-","-0.75%"
"Nov 26, 2019","2,029.32","2,029.32","2,029.32","2,029.32","-","-0.66%"
"Nov 25, 2019","2,042.85","2,042.85","2,042.85","2,042.85","-","-0.43%"
"Nov 22, 2019","2,051.75","2,051.75","2,051.75","2,051.75","-","0.00%"
"Nov 21, 2019","2,051.68","2,051.68","2,051.68","2,051.68","-","-0.09%"
"Nov 20, 2019","2,053.58","2,053.58","2,053.58","2,053.58","-","16.44%"
"Nov 19, 2019","1,763.57","1,763.57","1,763.57","1,763.57","-","-0.07%"
"Nov 18, 2019","1,764.80","1,764.80","1,764.80","1,764.80","-","-13.52%"
"Nov 15, 2019","2,040.71","2,040.71","2,040.71","2,040.71","-","0.15%"
"Nov 14, 2019","2,037.68","2,037.68","2,037.68","2,037.68","-","-0.05%"
"Nov 13, 2019","2,038.77","2,038.77","2,038.77","2,038.77","-","-0.72%"
"Nov 12, 2019","2,053.52","2,053.52","2,053.52","2,053.52","-","0.37%"
"Nov 11, 2019","2,046.05","2,046.05","2,046.05","2,046.05","-","-1.32%"
"Nov 08, 2019","2,073.33","2,073.33","2,073.33","2,073.33","-","-0.07%"
"Nov 07, 2019","2,074.68","2,074.68","2,074.68","2,074.68","-","0.99%"
"Nov 06, 2019","2,054.37","2,054.37","2,054.37","2,054.37","-","0.04%"
"Nov 05, 2019","2,053.53","2,053.53","2,053.53","2,053.53","-","-1.27%"
"Nov 04, 2019","2,080.04","2,080.04","2,080.04","2,080.04","-","1.48%"
"Nov 01, 2019","2,049.68","2,049.68","2,049.68","2,049.68","-","1.14%"
"Oct 31, 2019","2,026.57","2,026.57","2,026.57","2,026.57","-","1.75%"
"Oct 30, 2019","1,991.65","1,991.65","1,991.65","1,991.65","-","0.08%"
"Oct 29, 2019","1,990.01","1,990.01","1,990.01","1,990.01","-","0.36%"
"Oct 28, 2019","1,982.95","1,982.95","1,982.95","1,982.95","-","0.12%"
"Oct 25, 2019","1,980.62","1,980.62","1,980.62","1,980.62","-","2.63%"
"Oct 24, 2019","1,929.92","1,929.92","1,929.92","1,929.92","-","-0.04%"
"Oct 23, 2019","1,930.62","1,930.62","1,930.62","1,930.62","-","0.21%"
"Oct 22, 2019","1,926.49","1,926.49","1,926.49","1,926.49","-","0.00%"
"Oct 21, 2019","1,926.49","1,926.49","1,926.49","1,926.49","-","0.02%"
"Oct 18, 2019","1,926.04","1,926.04","1,926.04","1,926.04","-","0.50%"
"Oct 17, 2019","1,916.37","1,916.37","1,916.37","1,916.37","-","-0.24%"
"Oct 16, 2019","1,921.02","1,921.02","1,921.02","1,921.02","-","0.16%"
"Oct 15, 2019","1,917.95","1,917.95","1,917.95","1,917.95","-","-0.05%"
"Oct 11, 2019","1,918.84","1,918.84","1,918.84","1,918.84","-","0.00%"
"Oct 10, 2019","1,918.84","1,918.84","1,918.84","1,918.84","-","0.32%"
"Oct 09, 2019","1,912.69","1,912.69","1,912.69","1,912.69","-","0.08%"
"Oct 08, 2019","1,911.20","1,911.20","1,911.20","1,911.20","-","-0.47%"
"Oct 07, 2019","1,920.20","1,920.20","1,920.20","1,920.20","-","-0.18%"
"Oct 04, 2019","1,923.62","1,923.62","1,923.62","1,923.62","-","0.07%"
"Oct 03, 2019","1,922.21","1,922.21","1,922.21","1,922.21","-","-0.52%"
"Oct 02, 2019","1,932.19","1,932.19","1,932.19","1,932.19","-","0.17%"
"Oct 01, 2019","1,928.83","1,928.83","1,928.83","1,928.83","-","-0.27%"
"Sep 30, 2019","1,934.12","1,934.12","1,934.12","1,934.12","-","0.27%"
"Sep 27, 2019","1,928.83","1,928.83","1,928.83","1,928.83","-","-0.14%"
"Sep 26, 2019","1,931.44","1,931.44","1,931.44","1,931.44","-","0.23%"
"Sep 25, 2019","1,927.02","1,927.02","1,927.02","1,927.02","-","0.07%"
"Sep 24, 2019","1,925.74","1,925.74","1,925.74","1,925.74","-","-0.61%"
"Sep 23, 2019","1,937.54","1,937.54","1,937.54","1,937.54","-","0.37%"
"Sep 20, 2019","1,930.47","1,930.47","1,930.47","1,930.47","-","0.23%"
"Sep 19, 2019","1,926.10","1,926.10","1,926.10","1,926.10","-","-0.04%"
"Sep 18, 2019","1,926.85","1,926.85","1,926.85","1,926.85","-","0.39%"
"Sep 17, 2019","1,919.46","1,919.46","1,919.46","1,919.46","-","0.31%"
"Sep 16, 2019","1,913.50","1,913.50","1,913.50","1,913.50","-","0.22%"
"Sep 13, 2019","1,909.36","1,909.36","1,909.36","1,909.36","-","-0.40%"
"Sep 12, 2019","1,916.97","1,916.97","1,916.97","1,916.97","-","0.09%"
"Sep 11, 2019","1,915.24","1,915.24","1,915.24","1,915.24","-","0.53%"
"Sep 10, 2019","1,905.12","1,905.12","1,905.12","1,905.12","-","-0.29%"
