"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","1,751.34","1,751.34","1,751.34","1,751.34","-","1.04%"
"Nov 28, 2019","1,733.30","1,733.30","1,733.30","1,733.30","-","0.13%"
"Nov 27, 2019","1,731.11","1,731.11","1,731.11","1,731.11","-","-0.90%"
"Nov 26, 2019","1,746.91","1,746.91","1,746.91","1,746.91","-","-0.64%"
"Nov 25, 2019","1,758.15","1,758.15","1,758.15","1,758.15","-","-0.25%"
"Nov 22, 2019","1,762.64","1,762.64","1,762.64","1,762.64","-","0.04%"
"Nov 21, 2019","1,761.92","1,761.92","1,761.92","1,761.92","-","0.08%"
"Nov 20, 2019","1,760.54","1,760.54","1,760.54","1,760.54","-","-0.90%"
"Nov 19, 2019","1,776.57","1,776.57","1,776.57","1,776.57","-","1.52%"
"Nov 18, 2019","1,750.05","1,750.05","1,750.05","1,750.05","-","0.85%"
"Nov 15, 2019","1,735.23","1,735.23","1,735.23","1,735.23","-","-0.35%"
"Nov 14, 2019","1,741.35","1,741.35","1,741.35","1,741.35","-","-0.90%"
"Nov 13, 2019","1,757.23","1,757.23","1,757.23","1,757.23","-","-0.50%"
"Nov 12, 2019","1,766.07","1,766.07","1,766.07","1,766.07","-","0.10%"
"Nov 11, 2019","1,764.22","1,764.22","1,764.22","1,764.22","-","-1.91%"
"Nov 08, 2019","1,798.50","1,798.50","1,798.50","1,798.50","-","-1.04%"
"Nov 07, 2019","1,817.33","1,817.33","1,817.33","1,817.33","-","3.20%"
"Nov 06, 2019","1,760.99","1,760.99","1,760.99","1,760.99","-","-1.31%"
"Nov 05, 2019","1,784.42","1,784.42","1,784.42","1,784.42","-","-2.01%"
"Nov 04, 2019","1,821.08","1,821.08","1,821.08","1,821.08","-","4.09%"
"Nov 01, 2019","1,749.50","1,749.50","1,749.50","1,749.50","-","3.63%"
"Oct 31, 2019","1,688.22","1,688.22","1,688.22","1,688.22","-","3.78%"
"Oct 30, 2019","1,626.78","1,626.78","1,626.78","1,626.78","-","0.45%"
"Oct 29, 2019","1,619.46","1,619.46","1,619.46","1,619.46","-","-0.21%"
"Oct 28, 2019","1,622.89","1,622.89","1,622.89","1,622.89","-","0.71%"
"Oct 25, 2019","1,611.43","1,611.43","1,611.43","1,611.43","-","1.19%"
"Oct 24, 2019","1,592.55","1,592.55","1,592.55","1,592.55","-","0.66%"
"Oct 23, 2019","1,582.05","1,582.05","1,582.05","1,582.05","-","0.98%"
"Oct 22, 2019","1,566.72","1,566.72","1,566.72","1,566.72","-","0.03%"
"Oct 21, 2019","1,566.20","1,566.20","1,566.20","1,566.20","-","0.22%"
"Oct 18, 2019","1,562.75","1,562.75","1,562.75","1,562.75","-","1.56%"
"Oct 17, 2019","1,538.79","1,538.79","1,538.79","1,538.79","-","-0.06%"
