"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","57,502.14","57,513.28","57,733.05","57,425.36","25.54M","-0.29%"
"Nov 28, 2019","57,669.94","57,808.66","57,808.66","57,460.76","24.06M","-0.34%"
"Nov 27, 2019","57,867.89","58,182.76","58,190.11","57,734.52","28.43M","-0.32%"
"Nov 26, 2019","58,051.64","58,180.49","58,200.58","57,774.39","83.28M","-0.17%"
"Nov 25, 2019","58,151.15","58,036.33","58,237.66","58,036.33","30.61M","0.50%"
"Nov 22, 2019","57,863.03","57,589.17","58,079.30","57,589.17","34.41M","0.42%"
"Nov 21, 2019","57,618.54","57,824.01","57,826.32","57,321.76","32.74M","-0.70%"
"Nov 20, 2019","58,026.68","58,285.36","58,325.97","57,673.04","30.25M","-0.72%"
"Nov 19, 2019","58,447.30","58,877.51","58,935.82","58,273.14","37.08M","-0.69%"
"Nov 18, 2019","58,851.05","58,959.00","59,004.58","58,573.22","32.33M","0.17%"
"Nov 15, 2019","58,751.67","58,688.74","58,811.73","58,553.98","27.69M","0.22%"
"Nov 14, 2019","58,622.10","58,799.02","59,030.03","58,510.17","41.97M","-0.33%"
"Nov 13, 2019","58,816.98","59,153.84","59,153.84","58,654.29","49.66M","-0.55%"
"Nov 12, 2019","59,141.35","59,262.00","59,472.48","59,086.57","40.91M","-0.09%"
"Nov 08, 2019","59,191.71","59,373.70","59,407.09","59,127.98","48.39M","-0.51%"
"Nov 07, 2019","59,492.22","59,447.25","59,612.69","59,376.45","38.62M","0.54%"
"Nov 06, 2019","59,174.29","59,378.52","59,523.80","59,174.29","33.65M","-0.58%"
"Nov 05, 2019","59,517.70","59,352.20","59,651.52","59,234.53","41.72M","0.32%"
"Nov 04, 2019","59,326.13","58,294.43","59,326.52","58,250.46","43.08M","2.67%"
"Oct 31, 2019","57,783.02","58,628.93","58,628.93","57,665.64","37.24M","-1.11%"
"Oct 30, 2019","58,430.48","58,429.42","58,489.07","58,258.20","26.81M","0.06%"
"Oct 29, 2019","58,392.58","58,154.62","58,392.58","57,968.88","36.86M","0.50%"
"Oct 28, 2019","58,101.72","57,394.12","58,119.41","57,394.12","27.07M","1.35%"
"Oct 25, 2019","57,329.09","58,010.95","58,011.06","57,262.43","30.60M","-1.18%"
"Oct 24, 2019","58,012.97","58,054.70","58,167.50","57,740.41","28.76M","0.11%"
"Oct 23, 2019","57,950.18","57,870.77","57,981.72","57,743.50","23.23M","-0.06%"
"Oct 22, 2019","57,986.45","57,483.53","58,001.26","57,318.31","36.51M","0.99%"
"Oct 21, 2019","57,418.58","56,951.40","57,418.58","56,951.40","28.75M","0.69%"
"Oct 18, 2019","57,024.61","57,157.90","57,157.90","56,812.40","33.12M","-0.48%"
"Oct 17, 2019","57,297.12","56,915.64","57,426.06","56,862.11","30.26M","0.70%"
"Oct 16, 2019","56,898.36","56,778.88","57,081.38","56,754.38","31.77M","0.21%"
"Oct 15, 2019","56,781.82","56,911.34","56,915.09","56,614.22","35.12M","0.24%"
"Oct 14, 2019","56,647.08","56,930.40","56,971.44","56,492.62","27.84M","-0.44%"
"Oct 11, 2019","56,895.37","56,238.65","56,898.67","56,125.37","31.04M","1.54%"
"Oct 10, 2019","56,034.97","56,340.17","56,353.97","55,862.09","33.29M","-0.40%"
"Oct 09, 2019","56,260.83","56,258.16","56,435.16","56,130.07","31.56M","0.02%"
"Oct 08, 2019","56,247.95","56,169.79","56,308.28","55,860.21","31.94M","0.47%"
"Oct 07, 2019","55,987.34","56,143.58","56,143.58","55,739.92","23.42M","0.01%"
"Oct 04, 2019","55,980.47","55,667.95","56,079.14","55,667.81","33.45M","0.82%"
"Oct 03, 2019","55,523.06","55,426.51","56,269.75","55,086.12","46.19M","-0.14%"
"Oct 02, 2019","55,598.64","56,543.03","56,733.42","55,579.30","31.13M","-2.20%"
"Oct 01, 2019","56,847.98","57,245.86","57,410.73","56,777.36","31.38M","-0.82%"
"Sep 30, 2019","57,320.30","57,705.26","57,705.80","57,097.74","30.19M","-0.60%"
"Sep 27, 2019","57,666.04","57,493.47","57,729.31","57,322.74","24.65M","0.50%"
"Sep 26, 2019","57,377.87","57,123.35","57,436.95","57,074.40","34.49M","0.51%"
"Sep 25, 2019","57,085.05","57,230.29","57,230.29","56,742.58","36.51M","-0.66%"
"Sep 24, 2019","57,462.78","57,071.90","57,610.78","56,969.24","41.97M","1.04%"
"Sep 23, 2019","56,874.12","57,457.88","57,488.06","56,727.95","43.10M","-1.06%"
"Sep 20, 2019","57,485.19","58,114.67","58,203.82","57,294.84","84.46M","-0.98%"
"Sep 19, 2019","58,053.03","58,173.35","58,173.35","57,891.36","64.47M","-0.42%"
"Sep 18, 2019","58,297.28","58,020.43","58,308.07","57,931.00","64.40M","0.55%"
"Sep 17, 2019","57,980.44","58,400.61","58,422.03","57,790.52","52.24M","-0.93%"
"Sep 16, 2019","58,525.39","57,992.72","58,525.39","57,889.97","39.35M","0.65%"
"Sep 13, 2019","58,144.64","57,897.00","58,321.52","57,897.00","27.39M","0.45%"
"Sep 12, 2019","57,886.60","58,175.57","58,314.42","57,581.63","37.16M","-0.11%"
"Sep 11, 2019","57,949.46","58,048.84","58,291.69","57,789.23","39.20M","0.10%"
"Sep 10, 2019","57,893.23","57,744.40","58,015.51","57,647.17","45.73M","0.37%"
"Sep 09, 2019","57,682.47","56,673.93","57,682.47","56,657.46","50.98M","1.92%"
"Sep 06, 2019","56,593.23","56,431.91","56,760.13","56,336.22","26.50M","0.42%"
"Sep 05, 2019","56,358.30","56,453.49","56,648.94","55,982.14","35.12M","0.32%"
"Sep 04, 2019","56,176.46","56,567.00","56,938.90","56,171.79","41.87M","-0.11%"
"Sep 03, 2019","56,237.40","56,841.52","56,842.29","56,004.74","27.32M","-1.28%"
"Sep 02, 2019","56,965.68","56,861.56","56,982.12","56,669.56","17.81M","0.40%"
"Aug 30, 2019","56,739.53","55,358.11","56,765.57","55,358.11","37.57M","2.65%"
"Aug 29, 2019","55,273.05","54,900.49","55,356.91","54,818.36","28.25M","0.78%"
"Aug 28, 2019","54,846.48","56,108.89","56,108.89","54,702.14","36.31M","-1.85%"
"Aug 27, 2019","55,881.98","56,006.37","56,099.78","55,516.19","57.70M","-0.05%"
"Aug 26, 2019","55,909.06","55,526.02","56,133.11","55,496.48","24.38M","-0.25%"
"Aug 23, 2019","56,047.39","56,370.88","56,567.95","55,610.59","30.46M","-0.13%"
"Aug 22, 2019","56,118.92","56,165.08","56,520.10","55,956.43","31.38M","-0.01%"
"Aug 21, 2019","56,121.78","56,211.70","56,617.12","56,121.78","26.46M","-0.15%"
"Aug 20, 2019","56,204.55","56,198.21","56,279.34","55,735.81","32.18M","0.30%"
"Aug 19, 2019","56,035.15","55,756.53","56,200.96","55,678.30","35.87M","1.46%"
"Aug 16, 2019","55,227.60","55,811.11","55,973.81","55,066.72","36.65M","-0.73%"
"Aug 14, 2019","55,634.70","56,947.41","56,947.41","55,632.80","34.02M","-2.44%"
"Aug 13, 2019","57,024.90","55,939.51","57,286.98","55,828.90","35.07M","1.98%"
"Aug 12, 2019","55,915.51","56,551.40","56,631.39","55,778.23","23.70M","-0.71%"
"Aug 09, 2019","56,316.19","57,235.10","57,289.08","56,175.41","34.02M","-1.38%"
