"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","801.38","801.38","801.38","801.38","-","0.04%"
"Nov 28, 2019","801.02","801.02","801.02","801.02","-","0.11%"
"Nov 27, 2019","800.14","800.14","800.14","800.14","-","0.52%"
"Nov 26, 2019","796.00","796.00","796.00","796.00","-","-0.90%"
"Nov 25, 2019","803.20","803.20","803.20","803.20","-","-0.05%"
"Nov 22, 2019","803.64","803.64","803.64","803.64","-","0.32%"
"Nov 21, 2019","801.08","801.08","801.08","801.08","-","-0.98%"
"Nov 20, 2019","809.02","809.02","809.02","809.02","-","-0.87%"
"Nov 19, 2019","816.12","816.12","816.12","816.12","-","-0.52%"
"Nov 18, 2019","820.40","820.40","820.40","820.40","-","-0.17%"
"Nov 15, 2019","821.77","821.77","821.77","821.77","-","-0.24%"
"Nov 14, 2019","823.75","823.75","823.75","823.75","-","0.23%"
"Nov 13, 2019","821.85","821.85","821.85","821.85","-","0.92%"
"Nov 12, 2019","814.33","814.33","814.33","814.33","-","0.25%"
"Nov 11, 2019","812.30","812.30","812.30","812.30","-","-0.17%"
"Nov 08, 2019","813.70","813.70","813.70","813.70","-","0.19%"
"Nov 07, 2019","812.18","812.18","812.18","812.18","-","0.25%"
"Nov 06, 2019","810.12","810.12","810.12","810.12","-","-0.02%"
"Nov 05, 2019","810.27","810.27","810.27","810.27","-","1.26%"
"Nov 04, 2019","800.15","800.15","800.15","800.15","-","1.58%"
"Nov 01, 2019","787.70","787.70","787.70","787.70","-","1.31%"
"Oct 31, 2019","777.48","777.48","777.48","777.48","-","0.53%"
"Oct 30, 2019","773.35","773.35","773.35","773.35","-","0.41%"
"Oct 29, 2019","770.18","770.18","770.18","770.18","-","0.24%"
"Oct 28, 2019","768.37","768.37","768.37","768.37","-","0.37%"
"Oct 24, 2019","765.51","765.51","765.51","765.51","-","-0.82%"
"Oct 23, 2019","771.82","771.82","771.82","771.82","-","2.00%"
"Oct 22, 2019","756.67","756.67","756.67","756.67","-","-0.74%"
"Oct 21, 2019","762.32","762.32","762.32","762.32","-","0.27%"
"Oct 18, 2019","760.26","760.26","760.26","760.26","-","-0.07%"
"Oct 17, 2019","760.81","760.81","760.81","760.81","-","0.06%"
"Oct 16, 2019","760.33","760.33","760.33","760.33","-","-0.18%"
"Oct 15, 2019","761.70","761.70","761.70","761.70","-","-1.12%"
"Oct 14, 2019","770.34","770.34","770.34","770.34","-","-0.33%"
"Oct 11, 2019","772.90","772.90","772.90","772.90","-","-0.77%"
"Oct 10, 2019","778.87","778.87","778.87","778.87","-","-0.03%"
"Oct 09, 2019","779.13","779.13","779.13","779.13","-","0.26%"
"Oct 08, 2019","777.11","777.11","777.11","777.11","-","0.00%"
"Oct 07, 2019","777.11","777.11","777.11","777.11","-","-0.10%"
"Oct 04, 2019","777.88","777.88","777.88","777.88","-","1.07%"
"Oct 03, 2019","769.65","769.65","769.65","769.65","-","-1.11%"
"Oct 02, 2019","778.25","778.25","778.25","778.25","-","0.92%"
"Oct 01, 2019","771.18","771.18","771.18","771.18","-","-0.44%"
"Sep 30, 2019","774.55","774.55","774.55","774.55","-","0.21%"
"Sep 27, 2019","772.94","772.94","772.94","772.94","-","-0.35%"
"Sep 26, 2019","775.64","775.64","775.64","775.64","-","-4.20%"
"Sep 25, 2019","809.67","809.67","809.67","809.67","-","3.28%"
"Sep 24, 2019","783.93","783.93","783.93","783.93","-","8.18%"
"Sep 23, 2019","724.67","724.67","724.67","724.67","-","10.66%"
"Sep 20, 2019","654.89","654.89","654.89","654.89","-","11.10%"
"Sep 19, 2019","589.45","589.45","589.45","589.45","-","2.03%"
"Sep 18, 2019","577.74","577.74","577.74","577.74","-","1.02%"
"Sep 17, 2019","571.89","571.89","571.89","571.89","-","2.77%"
"Sep 16, 2019","556.49","556.49","556.49","556.49","-","0.29%"
"Sep 13, 2019","554.86","554.86","554.86","554.86","-","0.50%"
"Sep 12, 2019","552.09","552.09","552.09","552.09","-","1.65%"
"Sep 11, 2019","543.13","543.13","543.13","543.13","-","0.21%"
"Sep 10, 2019","542.01","542.01","542.01","542.01","-","0.03%"
"Sep 09, 2019","541.83","541.83","541.83","541.83","-","-0.72%"
"Sep 06, 2019","545.75","545.75","545.75","545.75","-","-0.16%"
"Sep 05, 2019","546.60","546.60","546.60","546.60","-","-1.06%"
"Sep 04, 2019","552.43","552.43","552.43","552.43","-","-0.21%"
"Sep 03, 2019","553.59","553.59","553.59","553.59","-","-0.51%"
"Sep 02, 2019","556.41","556.41","556.41","556.41","-","0.51%"
"Aug 30, 2019","553.59","553.59","553.59","553.59","-","0.28%"
"Aug 29, 2019","552.04","552.04","552.04","552.04","-","-0.77%"
"Aug 28, 2019","556.30","556.30","556.30","556.30","-","-2.67%"
"Aug 27, 2019","571.54","571.54","571.54","571.54","-","-1.15%"
"Aug 26, 2019","578.19","578.19","578.19","578.19","-","-0.42%"
"Aug 23, 2019","580.60","580.60","580.60","580.60","-","-1.09%"
"Aug 22, 2019","587.01","587.01","587.01","587.01","-","-0.98%"
"Aug 21, 2019","592.83","592.83","592.83","592.83","-","0.06%"
"Aug 20, 2019","592.47","592.47","592.47","592.47","-","-0.57%"
"Aug 19, 2019","595.87","595.87","595.87","595.87","-","-0.55%"
"Aug 16, 2019","599.18","599.18","599.18","599.18","-","0.04%"
"Aug 15, 2019","598.96","598.96","598.96","598.96","-","-0.54%"
"Aug 14, 2019","602.22","602.22","602.22","602.22","-","0.28%"
