Region,Country,Index,File Name,Start Date,End Date,Volatility,Volume,Count
Americas,Argentina,S&P Merval,S&P Merval,17/10/14,17/10/19,9279.218575,0,1222
Americas,Brazil,Bovespa,Bovespa,7/3/17,17/10/19,12706.10902,4044975,648
Americas,Canada,S&P/TSX,S&P_TSX Composite,17/10/14,17/10/19,1029.569517,214989059,1255
Americas,Chile,S&P CLX IPSA,S&P CLX IPSA,17/10/14,17/10/19,679.2432187,0,1243
Americas,Colombia,FTSE Colombia,FTSE Colombia,17/10/14,17/10/19,123.0116918,0,1217
Americas,Costa Rica,Costa Rica Indice Accionario,Costa Rica Indice Accionario,17/10/14,16/10/19,1776.551933,22265042,1266
Americas,Ecuador,Ecuador Reinvestment,Ecuador Reinvestment,17/10/14,16/10/19,127.6660076,0,1229
Americas,Jamaica,JSE Market,JSE Market,17/10/14,16/10/19,121868.8402,13383973,1146
Americas,Mexico,IPC Mexico,S&P_BMV IPC,17/10/14,17/10/19,2822.567295,189450023,1257
Americas,Peru,S&P Lima General,S&P Lima General,17/10/14,17/10/19,3570.191837,0,1254
Americas,USA,Dow Jones,Dow Jones Industrial Average,17/10/14,17/10/19,3592.170197,227856926,1259
Americas,USA,S&P 500,S&P 500,17/10/14,17/10/19,339.2185592,0,1259
Americas,USA,NASDAQ 100,Nasdaq 100,17/10/14,17/10/19,1262.894396,171994312,1259
Americas,USA,NASDAQ,NASDAQ Composite,17/10/14,17/10/19,1227.959574,494310889,1259
Americas,USA,S&P MidCap 400,S&P Midcap 400,17/10/14,15/10/19,211.7442498,0,1257
Americas,USA,Russell 2000,US SmallCap 2000,17/10/14,17/10/19,186.2264461,0,1259
Americas,Venezuela,Bursatil,Bursatil,17/10/14,16/10/19,95327.28819,20079,1198
Europe,Austria,ATX,ATX,23/3/15,17/10/19,436.1957894,6399069,1139
Europe,Belgium,BEL 20,BEL 20,17/10/14,17/10/19,230.5158931,25485324,1279
Europe,Bosnia-Herzegovina,BIRS,BIRS,17/10/14,17/10/19,68.83865335,0,1261
Europe,Bulgaria,SOFIX,BSE SOFIX,17/10/14,16/10/19,86.70626894,0,1238
Europe,Croatia,CROBEX,CROBEX,17/10/14,16/10/19,115.6489457,20421,1245
Europe,Cyprus,CYMAIN,Cyprus Main Market,22/1/18,16/10/19,3.051262103,0,426
Europe,Czech Republic,PX,PX,17/10/14,17/10/19,76.36057201,1055843,1250
Europe,Denmark,OMX Copenhagen 20,OMX Copenhagen 20,17/10/14,17/10/19,70.71011237,7641144,1249
Europe,Finland,OMX Helsinki 25,OMX Helsinki 25,17/10/14,17/10/19,402.0229048,25273468,1257
Europe,France,CAC 40,CAC 40,17/10/14,17/10/19,431.117409,102100437,1279
Europe,Germany,DAX,DAX,17/10/14,17/10/19,1098.980653,95618924,1264
Europe,Greece,Athens General,Athens General Composite,17/10/14,17/10/19,109.8918817,81690663,1220
Europe,Hungary,Budapest SE,Budapest SE,17/10/14,17/10/19,7894.863213,1686222,1244
Europe,Iceland,ICEX,ICEX Main,17/10/14,17/10/19,123.5102094,101009140,1245
Europe,Ireland,ISEQ,ISEQ Overall,17/10/14,17/10/19,506.0948528,63528228,1270
Europe,Italy,FTSE MIB,FTSE MIB,17/10/14,17/10/19,2092.438992,581992770,1274
Europe,Montenegro,MONEX,MONEX,16/6/16,7/6/19,412.8924059,0,730
Europe,Netherlands,AEX,AEX,17/10/14,17/10/19,50.17604131,93625731,1279
Europe,Norway,Oslo Bors All-Share,Oslo All Share,17/10/14,17/10/19,145.6562062,103435079,1254
Europe,Poland,WIG,WIG,17/10/14,17/10/19,5915.320031,46943634,1249
Europe,Portugal,PSI 20,PSI 20,17/10/14,17/10/19,385.6905805,210130289,1279
Europe,Russia,MOEX,MOEX Russia,17/10/14,17/10/19,344.5143625,0,1261
Europe,Serbia,BELEX 15,Belex 15,17/10/14,17/10/19,51.1170864,0,1261
Europe,Slovakia,SAX,SAX,17/10/14,17/10/19,36.2438234,0,1245
Europe,Slovenia,SBITOP,Blue-Chip SBITOP,17/10/14,16/10/19,64.43679419,8656,1241
Europe,Spain,IBEX 35,IBEX 35,17/10/14,17/10/19,845.6038847,228965007,1280
Europe,Sweden,OMX Stockholm 30,OMX Stockholm 30,17/10/14,17/10/19,100.0258268,92940557,1256
