,Date,Price,Open,High,Low,Change
0,1995-01-02,9.3123,9.302,9.3123,9.302,-0.0072
1,1995-01-03,9.3106,9.3003,9.3106,9.3003,-0.0002
2,1995-01-04,9.3518,9.3415,9.3518,9.3415,0.0044
3,1995-01-05,9.2882,9.278,9.2882,9.278,-0.0068000000000000005
4,1995-01-06,9.2929,9.2878,9.2929,9.2878,0.0005
5,1995-01-09,9.2976,9.2873,9.2976,9.2873,0.0005
6,1995-01-10,9.4216,9.411,9.4216,9.411,0.013300000000000001
7,1995-01-11,9.3795,9.369,9.3795,9.369,-0.0045000000000000005
8,1995-01-12,9.3324,9.3273,9.3324,9.3273,-0.005
9,1995-01-13,9.4261,9.4209,9.4261,9.4209,0.01
10,1995-01-16,9.4418,9.4313,9.4418,9.4313,0.0017000000000000001
11,1995-01-17,9.4257,9.4204,9.4257,9.4204,-0.0017000000000000001
12,1995-01-18,9.4307,9.4202,9.4307,9.4202,0.0005
13,1995-01-19,9.4357,9.4304,9.4357,9.4304,0.0005
14,1995-01-23,9.2897,9.2846,9.2897,9.2846,-0.0155
15,1995-01-24,9.2996,9.2843,9.2996,9.2843,0.0011
16,1995-01-25,9.2992,9.2838,9.2992,9.2838,-0.0
17,1995-01-26,9.34,9.3348,9.34,9.3348,0.0044
18,1995-01-27,9.2934,9.2832,9.2934,9.2832,-0.005
19,1995-01-30,9.2273,9.2223,9.2273,9.2223,-0.0070999999999999995
20,1995-01-31,9.2122,9.2022,9.2122,9.2022,-0.0016
21,1995-02-01,9.3088,9.2934,9.3088,9.2934,0.0105
22,1995-02-02,9.1722,9.1622,9.1722,9.1622,-0.0147
23,1995-02-03,9.2122,9.2022,9.2122,9.2022,0.0044
24,1995-02-06,9.1767,9.1717,9.1767,9.1717,-0.0039000000000000003
25,1995-02-07,9.2264,9.2213,9.2264,9.2213,0.0054
26,1995-02-08,9.1956,9.1906,9.1956,9.1906,-0.0033
27,1995-02-09,9.205,9.19,9.205,9.19,0.001
28,1995-02-10,9.2856,9.2805,9.2856,9.2805,0.0088
29,1995-02-13,9.3468,9.3416,9.3468,9.3416,0.0066
30,1995-02-14,9.3672,9.362,9.3672,9.362,0.0022
31,1995-02-15,9.3723,9.3619,9.3723,9.3619,0.0005
