"Date","Price","Open","High","Low","Change %"
"Mar 03, 2020","0.2215","0.2234","0.2246","0.2214","-0.90%"
"Mar 02, 2020","0.2235","0.2225","0.2238","0.2219","0.00%"
"Feb 28, 2020","0.2235","0.2220","0.2240","0.2215","0.27%"
"Feb 27, 2020","0.2229","0.2247","0.2248","0.2221","-0.80%"
"Feb 26, 2020","0.2247","0.2278","0.2279","0.2244","-1.40%"
"Feb 25, 2020","0.2279","0.2279","0.2279","0.2278","0.00%"
"Feb 24, 2020","0.2279","0.2278","0.2279","0.2278","0.04%"
"Feb 21, 2020","0.2278","0.2276","0.2287","0.2269","0.09%"
"Feb 20, 2020","0.2276","0.2291","0.2294","0.2273","-0.65%"
"Feb 19, 2020","0.2291","0.2295","0.2295","0.2284","-0.22%"
"Feb 18, 2020","0.2296","0.2311","0.2312","0.2291","-0.65%"
"Feb 17, 2020","0.2311","0.2325","0.2327","0.2308","-0.69%"
"Feb 14, 2020","0.2327","0.2299","0.2330","0.2299","1.22%"
"Feb 13, 2020","0.2299","0.2296","0.2321","0.2281","0.13%"
"Feb 12, 2020","0.2296","0.2308","0.2313","0.2296","-0.52%"
"Feb 11, 2020","0.2308","0.2313","0.2328","0.2303","-0.17%"
"Feb 10, 2020","0.2312","0.2314","0.2323","0.2309","-0.09%"
"Feb 07, 2020","0.2314","0.2336","0.2338","0.2313","-0.90%"
"Feb 06, 2020","0.2335","0.2361","0.2376","0.2333","-1.10%"
"Feb 05, 2020","0.2361","0.2350","0.2366","0.2346","0.43%"
"Feb 04, 2020","0.2351","0.2354","0.2369","0.2346","-0.13%"
"Feb 03, 2020","0.2354","0.2335","0.2364","0.2335","0.81%"
"Jan 31, 2020","0.2335","0.2356","0.2356","0.2331","-0.93%"
"Jan 30, 2020","0.2357","0.2364","0.2364","0.2340","-0.30%"
"Jan 29, 2020","0.2364","0.2384","0.2391","0.2362","-0.84%"
"Jan 28, 2020","0.2384","0.2375","0.2388","0.2371","0.29%"
"Jan 27, 2020","0.2377","0.2389","0.2393","0.2363","-0.63%"
"Jan 24, 2020","0.2392","0.2399","0.2402","0.2386","-0.25%"
"Jan 23, 2020","0.2398","0.2390","0.2406","0.2386","0.29%"
"Jan 22, 2020","0.2391","0.2379","0.2396","0.2377","0.72%"
"Jan 21, 2020","0.2374","0.2386","0.2390","0.2371","-0.54%"
"Jan 20, 2020","0.2387","0.2401","0.2402","0.2386","-0.67%"
"Jan 17, 2020","0.2403","0.2389","0.2404","0.2384","0.59%"
"Jan 16, 2020","0.2389","0.2396","0.2404","0.2381","-0.25%"
"Jan 15, 2020","0.2395","0.2419","0.2420","0.2387","-0.99%"
