"Date","Price","Open","High","Low","Change %"
"Dec 31, 2009","31.990","32.178","32.310","31.930","-0.74%"
"Dec 30, 2009","32.230","32.330","32.340","32.110","-0.29%"
"Dec 29, 2009","32.325","32.285","32.325","32.205","0.12%"
"Dec 28, 2009","32.287","32.244","32.317","32.177","-0.01%"
"Dec 25, 2009","32.290","32.300","32.341","32.220","-0.02%"
"Dec 24, 2009","32.295","32.355","32.355","32.175","-0.14%"
"Dec 23, 2009","32.340","32.260","32.410","32.260","-0.11%"
"Dec 22, 2009","32.375","32.325","32.455","32.315","0.02%"
"Dec 21, 2009","32.370","32.310","32.440","32.310","-0.09%"
"Dec 18, 2009","32.398","32.322","32.453","32.312","0.04%"
"Dec 17, 2009","32.385","32.315","32.385","32.255","0.20%"
"Dec 16, 2009","32.320","32.300","32.360","32.250","-0.02%"
"Dec 15, 2009","32.325","32.255","32.345","32.215","0.09%"
"Dec 14, 2009","32.297","32.263","32.323","32.193","0.37%"
"Dec 11, 2009","32.177","32.213","32.312","32.103","-0.37%"
"Dec 10, 2009","32.295","32.260","32.350","32.210","0.12%"
"Dec 09, 2009","32.255","32.205","32.345","32.205","0.08%"
"Dec 08, 2009","32.228","32.236","32.326","32.147","-0.27%"
"Dec 07, 2009","32.315","32.165","32.315","32.135","0.36%"
"Dec 04, 2009","32.200","32.160","32.220","32.100","0.26%"
"Dec 03, 2009","32.115","32.135","32.235","32.055","-0.08%"
"Dec 02, 2009","32.140","32.130","32.210","32.080","0.02%"
"Dec 01, 2009","32.135","32.145","32.275","32.115","-0.31%"
"Nov 30, 2009","32.235","32.315","32.345","32.115","-0.26%"
"Nov 27, 2009","32.320","32.241","32.384","32.205","0.17%"
"Nov 26, 2009","32.265","32.175","32.305","32.105","0.19%"
"Nov 25, 2009","32.205","32.215","32.317","32.165","-0.02%"
"Nov 24, 2009","32.210","32.220","32.300","32.190","-0.02%"
"Nov 23, 2009","32.215","32.305","32.395","32.214","-0.52%"
"Nov 20, 2009","32.385","32.370","32.400","32.230","-0.02%"
"Nov 19, 2009","32.390","32.110","32.400","32.050","0.81%"
"Nov 18, 2009","32.130","32.140","32.209","32.020","-0.03%"
"Nov 17, 2009","32.140","32.040","32.168","31.990","0.28%"
"Nov 16, 2009","32.050","32.170","32.310","32.050","-0.40%"
"Nov 13, 2009","32.180","32.235","32.404","32.115","-0.53%"
"Nov 12, 2009","32.350","32.415","32.415","32.175","-0.11%"
"Nov 11, 2009","32.385","32.315","32.485","32.205","0.02%"
"Nov 10, 2009","32.380","32.361","32.380","32.240","0.22%"
"Nov 09, 2009","32.310","32.440","32.530","32.300","-0.63%"
"Nov 06, 2009","32.515","32.480","32.550","32.420","0.09%"
"Nov 05, 2009","32.485","32.475","32.575","32.455","0.08%"
"Nov 04, 2009","32.460","32.590","32.600","32.470","-0.23%"
"Nov 03, 2009","32.535","32.535","32.615","32.415","-0.12%"
"Nov 02, 2009","32.575","32.530","32.675","32.460","-0.21%"
"Oct 30, 2009","32.645","32.495","32.645","32.445","0.60%"
"Oct 29, 2009","32.450","32.550","32.650","32.450","-0.32%"
"Oct 28, 2009","32.555","32.445","32.565","32.435","0.34%"
"Oct 27, 2009","32.445","32.485","32.575","32.365","-0.12%"
"Oct 26, 2009","32.485","32.365","32.485","32.265","0.29%"
"Oct 23, 2009","32.390","32.315","32.455","32.295","-0.22%"
"Oct 22, 2009","32.460","32.370","32.510","32.260","0.34%"
"Oct 21, 2009","32.350","32.365","32.415","32.255","0.25%"
"Oct 20, 2009","32.270","32.305","32.355","32.205","-0.15%"
"Oct 19, 2009","32.320","32.280","32.410","32.240","0.02%"
"Oct 16, 2009","32.315","32.245","32.315","32.155","0.17%"
"Oct 15, 2009","32.260","32.230","32.290","32.130","0.08%"
"Oct 14, 2009","32.235","32.315","32.345","32.185","-0.19%"
"Oct 13, 2009","32.295","32.205","32.325","32.185","0.22%"
"Oct 12, 2009","32.225","32.225","32.325","32.225","-0.25%"
"Oct 09, 2009","32.305","32.147","32.315","32.055","0.65%"
"Oct 08, 2009","32.095","32.065","32.175","32.055","0.09%"
"Oct 07, 2009","32.065","32.135","32.208","32.035","-0.05%"
"Oct 06, 2009","32.080","32.125","32.266","32.065","-0.14%"
"Oct 05, 2009","32.125","32.325","32.365","32.125","-0.53%"
"Oct 02, 2009","32.295","32.115","32.315","32.115","0.44%"
"Oct 01, 2009","32.155","31.995","32.165","31.995","0.50%"
"Sep 30, 2009","31.995","32.385","32.405","31.995","-1.45%"
"Sep 29, 2009","32.465","32.450","32.465","32.315","0.15%"
"Sep 28, 2009","32.415","32.405","32.485","32.335","0.05%"
"Sep 25, 2009","32.400","32.370","32.485","32.350","0.03%"
"Sep 24, 2009","32.390","32.345","32.432","32.325","0.11%"
"Sep 23, 2009","32.355","32.325","32.385","32.275","0.06%"
"Sep 22, 2009","32.335","32.403","32.465","32.325","-0.23%"
"Sep 21, 2009","32.410","32.420","32.460","32.350","-0.02%"
"Sep 18, 2009","32.415","32.415","32.485","32.315","-0.02%"
"Sep 17, 2009","32.420","32.400","32.520","32.300","0.05%"
"Sep 16, 2009","32.405","32.585","32.622","32.405","-0.55%"
"Sep 15, 2009","32.585","32.625","32.683","32.575","-0.12%"
"Sep 14, 2009","32.625","32.515","32.695","32.515","-0.05%"
"Sep 11, 2009","32.640","32.710","32.710","32.560","-0.05%"
"Sep 10, 2009","32.655","32.695","32.745","32.585","-0.12%"
"Sep 09, 2009","32.695","32.685","32.771","32.625","0.08%"
"Sep 08, 2009","32.670","32.940","32.940","32.670","-0.57%"
"Sep 07, 2009","32.857","32.938","32.938","32.798","0.01%"
"Sep 04, 2009","32.855","32.845","33.005","32.795","0.02%"
"Sep 03, 2009","32.850","32.860","32.944","32.840","-0.05%"
"Sep 02, 2009","32.865","32.875","33.015","32.835","-0.03%"
"Sep 01, 2009","32.875","32.915","32.955","32.805","-0.11%"
"Aug 31, 2009","32.910","32.960","32.960","32.830","0.05%"
"Aug 28, 2009","32.895","32.905","32.995","32.805","-0.02%"
"Aug 27, 2009","32.900","32.980","32.990","32.860","-0.27%"
"Aug 26, 2009","32.990","32.890","32.990","32.840","0.24%"
"Aug 25, 2009","32.912","32.823","32.928","32.812","0.14%"
"Aug 24, 2009","32.865","32.830","32.916","32.760","0.00%"
"Aug 21, 2009","32.865","32.975","32.975","32.850","-0.24%"
"Aug 20, 2009","32.945","33.013","33.032","32.903","-0.06%"
"Aug 19, 2009","32.965","32.920","33.045","32.895","0.05%"
"Aug 18, 2009","32.950","32.935","33.030","32.890","-0.14%"
"Aug 17, 2009","32.995","32.900","33.000","32.835","0.18%"
"Aug 14, 2009","32.935","32.900","32.965","32.785","0.15%"
"Aug 13, 2009","32.885","32.958","32.985","32.825","0.12%"
"Aug 12, 2009","32.845","32.815","32.958","32.805","-0.24%"
"Aug 11, 2009","32.925","32.715","32.928","32.715","0.40%"
"Aug 10, 2009","32.795","32.735","32.945","32.715","0.13%"
"Aug 07, 2009","32.752","32.737","32.763","32.737","0.02%"
"Aug 06, 2009","32.745","32.695","32.815","32.625","0.14%"
"Aug 05, 2009","32.700","32.670","32.840","32.600","0.09%"
"Aug 04, 2009","32.670","32.670","32.840","32.610","-0.03%"
"Aug 03, 2009","32.680","32.730","32.850","32.660","-0.40%"
"Jul 31, 2009","32.810","32.810","32.860","32.690","-0.03%"
"Jul 30, 2009","32.820","32.940","32.970","32.790","-0.20%"
"Jul 29, 2009","32.885","32.785","32.945","32.695","0.38%"
"Jul 28, 2009","32.760","32.870","32.940","32.680","-0.33%"
"Jul 27, 2009","32.870","32.900","32.990","32.770","0.12%"
"Jul 24, 2009","32.830","32.770","32.920","32.700","0.21%"
"Jul 23, 2009","32.760","32.850","32.900","32.735","-0.24%"
"Jul 22, 2009","32.840","32.780","32.890","32.730","0.15%"
"Jul 21, 2009","32.790","32.765","32.870","32.670","0.05%"
"Jul 20, 2009","32.775","32.855","33.005","32.745","-0.23%"
"Jul 17, 2009","32.850","32.890","32.979","32.850","-0.11%"
"Jul 16, 2009","32.885","32.875","32.985","32.835","0.02%"
"Jul 15, 2009","32.880","33.120","33.130","32.880","-0.72%"
"Jul 14, 2009","33.120","33.130","33.220","33.020","-0.08%"
"Jul 13, 2009","33.145","32.945","33.220","32.945","0.29%"
"Jul 10, 2009","33.050","33.010","33.060","32.890","0.26%"
"Jul 09, 2009","32.963","33.062","33.112","32.912","-0.32%"
"Jul 08, 2009","33.070","32.980","33.105","32.890","0.29%"
"Jul 07, 2009","32.975","32.975","33.010","32.915","-0.02%"
"Jul 06, 2009","32.980","32.805","32.997","32.805","0.31%"
"Jul 03, 2009","32.879","32.811","32.971","32.811","-0.08%"
"Jul 02, 2009","32.905","32.693","32.913","32.653","0.60%"
"Jul 01, 2009","32.710","32.860","32.860","32.700","-0.46%"
"Jun 30, 2009","32.860","32.920","32.990","32.770","-0.24%"
"Jun 29, 2009","32.940","33.005","33.005","32.900","-0.09%"
"Jun 26, 2009","32.970","32.920","32.973","32.850","0.15%"
"Jun 25, 2009","32.920","32.870","32.990","32.790","0.11%"
"Jun 24, 2009","32.885","32.865","32.975","32.795","0.08%"
